scope,n,corr_CMI_coverScore,auc_cmi_only,season
GLOBAL,3186,,,
SEASON_2018_2019,531,,,2018_2019
SEASON_2019_2020,531,-0.05667980827530347,0.4785531652265915,2019_2020
SEASON_2020_2021,531,,,2020_2021
SEASON_2021_2022,531,,,2021_2022
SEASON_2022_2023,531,,,2022_2023
SEASON_2023_2024,531,,,2023_2024
