season,orch_id,n_periods_used,slope_Intensity,intercept_Intensity,r2_Intensity,slope_Fill,intercept_Fill,r2_Fill,slope_Uniformity,intercept_Uniformity,r2_Uniformity,z_slope_Intensity,z_slope_Fill,z_slope_Uniformity,pred_Intensity_t5,z_level_Intensity_t5,CMI__summer_year,CMI__stability_score,CMI__EVI2_p90_summer_mean,CMI__EVI2_p90_summer_median,CMI__EVI2_summer_imgcount_mean,CMI__valid_fraction,CMI__CMI_season_z
2018_2019,0053000000000000134f,5,0.005699942538530621,0.35863047855981034,0.554113559673493,0.0,0.0,1.0,0.0013092012049068869,0.5501761587202967,0.3449694774993849,0.2424708763716067,0.0,0.14978322755876067,0.38713019125246345,-0.7457385842994202,2018.0,7.0,0.4514105816368743,0.4543252618062665,31.987429490682963,1.0,0.6583790577384874
2018_2019,00530000000000001466,5,0.06381060144024181,0.235509969183291,0.9623991468759934,0.12330519950343659,-0.377788314688282,0.8787146635471832,-0.10861300394992168,0.8766771027831504,0.9361612929248094,2.4889285194902824,3.0,-3.0,0.5545629763845,0.36232802590569196,2018.0,7.0,0.1910910328775779,0.199635287154089,45.97422468901173,0.9421756219765032,-2.3531071775768955
2018_2019,005300000000000015fb,5,0.0016820065780544153,0.40293920133342237,0.1414205063879439,0.0,0.0,1.0,-0.011423909699793587,0.573200490625279,0.5023634854594453,0.08714441615645056,0.0,-0.26029197932800935,0.41134923422369446,-0.5854574731276689,2018.0,7.0,0.4117991261741573,0.4117360365099843,12.07071800771469,0.9388280774176084,0.200137049194285
2018_2019,00530000000000001a3d,5,0.01612280040530032,0.4006122079949468,0.8868228734674706,0.016674562287424973,-0.062041751031589605,0.4713643228346823,-0.06653149693137475,0.7723757509631775,0.6985936144838831,0.6454005481474488,0.6650627885105069,-2.035055067795192,0.4812262100214484,-0.12301313379148526,2018.0,7.0,0.4365024619030601,0.4305244338609345,26.899774614430925,0.9952908654597484,0.4859156465702098
2018_2019,00530000000000001ec5,5,0.015135488519697234,0.3797109546244012,0.9329874427100977,0.007033606330772132,-0.015838214481777458,0.294849086785534,-0.025215396039049376,0.5342051265720277,0.7708950551370662,0.607232776976476,0.2805344907407973,-0.7044526134554177,0.4553883972228874,-0.2940072292444056,2018.0,7.0,0.195098182479732,0.2075566204133855,80.80348797900056,1.0,-2.3067507824185176
2018_2019,00530000000000001ec6,5,0.010703190483611591,0.43574139639908693,0.5196139890236914,0.019768627534876536,-0.06701312469365761,0.6068040036090162,-0.056968122521162255,0.7473066470797348,0.9050987543072001,0.43588779504147884,0.7884691859819072,-1.7270625615526034,0.4892573488171449,-0.06986322808803264,2018.0,7.0,0.4164860506212775,0.4158483135541477,20.440778142488437,0.9705003167224202,0.2543573662074976
2018_2019,00530000000000001ec9,5,-0.0011366687125237498,0.47671572072046964,-0.0037309895395674086,-0.010237496640035409,0.07328011083528221,0.3344671555485834,-0.0027835125599052248,0.6169674433851096,0.35948025509065784,-0.021820699188380158,-0.4083212467846034,0.01797565465730262,0.4710323771578509,-0.1904757028293019,2018.0,7.0,0.1675253961866107,0.1667153954106039,39.134134985872095,1.0,-2.6257243930704224
2018_2019,00530000000000001ecd,5,-0.0100311909604568,0.49993312181713256,0.8267683809052093,-0.006915536548486931,0.04067218505817338,0.5072334505433266,-0.000105135699448227,0.5686228571575555,0.001894399951903547,-0.36566755729326944,-0.27582529254465377,0.10423391105615219,0.44977716701484854,-0.3311422313934706,2018.0,7.0,0.1690548157016973,0.1664868667746173,32.76224926585131,0.9964045257595656,-2.6080314236424345
2018_2019,00530000000000001ed0,5,0.0070784400105214865,0.4103187316627021,0.05413557793538892,0.0005105238430831432,0.005186974296632746,-0.010250187397402577,0.000981026610926958,0.5298488539580367,0.0016461421754732086,0.29576120624398855,0.020362178318649515,0.13921422635170908,0.4457109317153095,-0.3580524901047704,2018.0,7.0,0.3619054774971001,0.367778939723588,14.44211937017201,0.98108207138519,-0.377053703235727
2018_2019,00530000000000001ed1,5,-0.004156731097341371,0.2956387424109315,0.4277601120775266,0.0,0.0,1.0,-0.007254651524719191,0.6241946788527359,0.2525110216311899,-0.1385710915483088,0.0,-0.1260192614113811,0.27485508692422467,-1.4887728363146941,2018.0,7.0,0.3718992045216663,0.3718992045216663,12.0,1.0,-0.2614420577891203
