orch_id,mask,longest,years_active,ever_cover,never_cover
00530000000000004c85,4,1,1,True,False
00530000000000004cb2,55,3,5,True,False
00530000000000004ccb,2,1,1,True,False
00530000000000004cd1,56,3,3,True,False
00530000000000004cd3,16,1,1,True,False
00530000000000004ce8,22,2,3,True,False
00530000000000004ceb,6,2,2,True,False
00530000000000004d2a,4,1,1,True,False
00530000000000004d2e,48,2,2,True,False
00530000000000004d30,50,2,3,True,False
00530000000000004d34,32,1,1,True,False
00530000000000004ec8,4,1,1,True,False
00530000000000004f9e,16,1,1,True,False
00530000000000004fae,51,2,4,True,False
00530000000000004fc9,52,2,3,True,False
00530000000000004fd6,8,1,1,True,False
00530000000000004fe7,8,1,1,True,False
00530000000000004fef,28,3,3,True,False
00530000000000005003,36,1,2,True,False
00530000000000005004,4,1,1,True,False
0053000000000000500e,16,1,1,True,False
00530000000000005013,2,1,1,True,False
00530000000000005021,36,1,2,True,False
0053000000000000502a,55,3,5,True,False
0053000000000000502c,16,1,1,True,False
00530000000000005039,32,1,1,True,False
0053000000000000503a,35,2,3,True,False
0053000000000000503c,50,2,3,True,False
00530000000000005044,4,1,1,True,False
00530000000000005049,8,1,1,True,False
00530000000000005051,16,1,1,True,False
00530000000000005054,20,1,2,True,False
0053000000000000506d,8,1,1,True,False
00530000000000005077,22,2,3,True,False
0053000000000000507b,8,1,1,True,False
0053000000000000507d,2,1,1,True,False
0053000000000000507f,32,1,1,True,False
00530000000000005082,24,2,2,True,False
0053000000000000509a,22,2,3,True,False
0053000000000000509b,48,2,2,True,False
0053000000000000509d,32,1,1,True,False
005300000000000050a1,16,1,1,True,False
005300000000000050a2,32,1,1,True,False
005300000000000050a7,32,1,1,True,False
005300000000000050a9,32,1,1,True,False
005300000000000050aa,32,1,1,True,False
005300000000000050ae,59,3,5,True,False
005300000000000050b8,1,1,1,True,False
00530000000000005314,8,1,1,True,False
00530000000000005357,49,2,3,True,False
005300000000000063dd,4,1,1,True,False
