K,silhouette,chosen_k,method,feature_set,k_select,chosen_silhouette,shrink_by_r2,shrink_level
2,0.37316422662217363,3,kmeans,cover2,silhouette,0.391802098382147,sqrt,False
3,0.391412505711533,3,kmeans,cover2,silhouette,0.391802098382147,sqrt,False
