orch_id,season,summer_year,stability_score,EVI2_p90_summer_mean,EVI2_p90_summer_median,EVI2_summer_imgcount_mean,valid_fraction,CMI_season_z
005500000000000075e2,2022_2023,2022,7.0,0.46649843911486377,0.4588097942593196,45.35756633857133,0.9762044551890865,0.39952359072129967
005500000000000078b0,2022_2023,2022,7.0,0.36275122896500805,0.36288943494473563,80.72592817323373,1.0,-0.5996501288287851
005500000000000078e5,2022_2023,2022,7.0,0.5325918894462409,0.5467179472861291,45.27008523420833,1.0,1.036059633571149
00550000000000000db8,2022_2023,2022,7.0,0.46542452363997344,0.4707829890815528,43.8921524930635,0.9944595126141464,0.3891808728980575
00550000000000002d65,2022_2023,2022,7.0,0.5852116135266602,0.5905284146623372,95.17749112071886,1.0,1.5428322528559366
00550000000000006b4f,2022_2023,2022,7.0,0.3052844688877727,0.3118151876335436,44.303342698493466,1.0,-1.1531038201032333
005500000000000077d8,2022_2023,2022,8.0,0.3141221200851006,0.3210909002216026,38.78970084057013,0.9853987922242912,-1.0679897355301105
005500000000000077dd,2022_2023,2022,8.0,0.3511841896496795,0.3705949176703521,17.975724215433285,0.9787729959210855,-0.7110505383451942
00550000000000007854,2022_2023,2022,8.0,0.5991645667590721,0.5877411973304985,97.15507393316403,1.0,1.677211039136551
00550000000000007872,2022_2023,2022,8.0,0.1991186014660749,0.18158850160697065,148.69931621005964,0.9996403786517357,-2.175571262724354
005500000000000078c7,2022_2023,2022,8.0,0.38550255472796574,0.4121110183857483,94.92535990335186,0.9986069211482251,-0.3805355448854238
005500000000000078c9,2022_2023,2022,8.0,0.4723657535737364,0.49410465267592435,59.31427303216609,0.9986526956320052,0.4560308105605013
005500000000000078d0,2022_2023,2022,8.0,0.4272181316633117,0.46720196559346966,40.004110228306146,0.9938974776240844,0.021220879306242016
005500000000000078d2,2022_2023,2022,8.0,0.40064636425540157,0.4327139702065024,33.05855144090211,0.9937108450508143,-0.23468780139593676
005500000000000078d4,2022_2023,2022,8.0,0.5125050843719449,0.5145734421036757,26.202898180657506,1.0,0.8426066461513247
005500000000000078f1,2022_2023,2022,8.0,0.5081679474666572,0.49030226663511806,39.050003193373946,0.9985713853528342,0.8008363353391619
00550000000000007914,2022_2023,2022,8.0,0.3532724082533207,0.4204777637294835,18.140208862330326,0.9651768838656711,-0.6909392202054578
0055000000000000791a,2022_2023,2022,8.0,0.3229269420803084,0.31455207591482115,35.81434426295871,0.973974548098394,-0.983191824046797
0055000000000000791b,2022_2023,2022,8.0,0.4549017244110665,0.47850559928155656,39.82628239375588,0.9953716109501402,0.2878373820182662
005500000000000079a5,2022_2023,2022,8.0,0.46423721912416077,0.5096791109227133,36.37974889312941,0.9950856468376214,0.37774612233860055
005500000000000079ab,2022_2023,2022,8.0,0.45479791880190334,0.4793997393095184,29.090909571152373,0.995150503439022,0.28683764586663457
00550000000000008c5a,2022_2023,2022,7.0,0.48936067211044165,0.5030341278040013,19.418386657148424,0.9833214355246933,0.6197063054797649
00550000000000008c5e,2022_2023,2022,7.0,0.40136916333221584,0.4043282618628399,27.34376834733835,0.9991957292286513,-0.22772663259896656
00550000000000008c70,2022_2023,2022,7.0,0.5181740172169434,0.5294717657270602,22.253034830997464,1.0,0.8972032826144669
00550000000000008c74,2022_2023,2022,7.0,0.5444023735434901,0.5674916489192708,23.894148507055313,1.0,1.1498046230324583
00550000000000008cb0,2022_2023,2022,7.0,0.4037639236637039,0.41311824285999293,25.519185347746802,0.9975204957651698,-0.2046630573530616
00550000000000008cb1,2022_2023,2022,7.0,0.4221582711890186,0.43071922462750706,27.043313804701935,0.9988611652713,-0.02750987309858205
00550000000000008cb2,2022_2023,2022,7.0,0.38514809101330166,0.39735758373978064,26.08187738771626,0.9992183637154962,-0.383949331412453
00550000000000008cd5,2022_2023,2022,7.0,0.4666757626337732,0.49309557696823947,28.90022224883184,1.0,0.4012313667636291
00550000000000008ce7,2022_2023,2022,7.0,0.43249174706831406,0.442327410827006,17.887787484375433,0.9984137839753479,0.07201027318085096
00550000000000008cef,2022_2023,2022,7.0,0.2613034972393471,0.26070308715685386,19.83927810278619,0.9879888543716066,-1.576677918798603
00550000000000008cfe,2022_2023,2022,7.0,0.2667276555540188,0.264717991729959,30.49065017087918,0.9898088268169886,-1.5244386688865266
00550000000000008d07,2022_2023,2022,7.0,0.3405537039281699,0.3536260408412538,16.420003602046982,0.8682924186760512,-0.8134311415791751
00550000000000008d0b,2022_2023,2022,7.0,0.33066501349887667,0.3365392737485427,36.32385655698424,0.9756203370678826,-0.9086676263332665
00550000000000008d0c,2022_2023,2022,7.0,0.32676341314494367,0.33058281039531706,28.988928767764836,0.9860006875922812,-0.9462433503667728
00550000000000008d29,2022_2023,2022,7.0,0.42166039515148795,0.4209697679452118,24.32475348438399,1.0,-0.03230484205799606
00550000000000008d2a,2022_2023,2022,7.0,0.42893146902059864,0.43194217410421876,16.970399119414704,0.9869602671396878,0.0377217727534178
00550000000000008dfd,2022_2023,2022,7.0,0.47194084263007896,0.49032070446313125,38.34071525475876,0.9982755003566482,0.4519385574055636
0055000000000000a1c5,2022_2023,2022,7.0,0.5093170195555371,0.4470220775876913,43.92507453476547,0.9960460522565001,0.8119028751662952
00550000000000000e53,2022_2023,2022,8.0,0.41497307044304094,0.4353970640680369,5.204316975691174,0.6835826798220253,-0.09670945682428031
00550000000000000e56,2022_2023,2022,8.0,0.4122404258304935,0.43652031789000634,13.018488343053159,0.9793689972598545,-0.12302714457495519
00550000000000000e96,2022_2023,2022,8.0,0.5318034590517914,0.5448767819929355,78.10669875336744,0.9987695600081931,1.028466379461563
00550000000000000ea4,2022_2023,2022,8.0,0.46798910954494843,0.49809995113966865,49.80684081765053,0.9972748491203663,0.4138800126057978
00550000000000000ea6,2022_2023,2022,8.0,0.5060634715176574,0.5147802705850353,69.16405454315895,0.9967804385337318,0.7805684451604425
00550000000000000eaa,2022_2023,2022,8.0,0.4982251150487398,0.5302925823582133,82.89711789922079,0.9931250168504487,0.7050784172657621
00550000000000000ead,2022_2023,2022,8.0,0.5029631862328587,0.5097090239695142,73.34330411688671,0.9962920911301698,0.7507100655933754
00550000000000000fdd,2022_2023,2022,8.0,0.44599441640581866,0.48172796007129304,24.05937551954107,0.9635758314235269,0.2020524432432728
