orch_id,season,summer_year,stability_score,EVI2_p90_summer_mean,EVI2_p90_summer_median,EVI2_summer_imgcount_mean,valid_fraction,CMI_season_z
00530000000000001ea9,2018_2019,2018,7.0,0.43597613931973883,0.4294779143611613,3.032766282149109,0.6598740218741115,0.3472038860806218
00530000000000001eab,2018_2019,2018,7.0,0.4054876064153464,0.4013783179976522,1.9258848552055112,0.08311367230816773,0.05936639688993476
00530000000000001ead,2018_2019,2018,7.0,0.18077640959923486,0.17942830607295807,1.9855137563166758,0.3182481751824817,-2.062097003379664
00530000000000001eae,2018_2019,2018,7.0,-9999,-9999,1.197074247860889,0,
00530000000000001eaf,2018_2019,2018,7.0,-9999,-9999,0,0,
00530000000000001eb0,2018_2019,2018,7.0,0.24692033750691092,0.24336472377705395,3.0121240899018673,0.1392687559354226,-1.4376424848937177
00530000000000001eb1,2018_2019,2018,7.0,0.37406236565598217,0.3722944611161958,4.79151573994548,0.6246312408977184,-0.23731440522518127
00530000000000001eb2,2018_2019,2018,7.0,0.37326908991278485,0.3750929257148803,2.1986370583702826,0.228390617302664,-0.24480359792834663
00530000000000001eb4,2018_2019,2018,7.0,0.12144629159198883,0.10995351904442817,6.007006369426751,0.626751592356688,-2.622223404152873
00530000000000001eb5,2018_2019,2018,7.0,0.17484064182221906,0.13593280164148108,15.141683861310034,0.8959825221507464,-2.1181356621997827
00530000000000001eb7,2018_2019,2018,7.0,0.4939923972530528,0.5113733416842224,1.688319232226291,0.04588963252935976,0.8949263385886119
00530000000000001eb8,2018_2019,2018,7.0,0.4424477571302158,0.4424477571302158,1.0603826157871488,0.007577559550103639,0.4083014215839143
00530000000000001eb9,2018_2019,2018,7.0,0.44281348239843055,0.44491188966539874,4.512017274832572,0.7378106027414407,0.4117541768629774
00530000000000001eba,2018_2019,2018,7.0,0.3898492974425188,0.3962102465222351,10.921171862307984,0.8669109550713908,-0.0882724417528525
00530000000000001ebb,2018_2019,2018,7.0,0.5323413454100622,0.5337145711156256,3.951739560781227,0.5848187416744394,1.2569727835661975
00530000000000001ebc,2018_2019,2018,7.0,0.5254126020896321,0.5303672316384181,2.5034867503486757,0.36846534891550037,1.1915595973412871
00530000000000001ebd,2018_2019,2018,7.0,0.4586502751135847,0.48757860744433734,1.193365342645133,0.021060672195547792,0.561266869594303
00530000000000001ebe,2018_2019,2018,7.0,0.4610343366338681,0.4633442323532269,3.599168556454016,0.4145105482207068,0.583774422982536
00530000000000001ec0,2018_2019,2018,7.0,0.5042463478978063,0.5053777424169175,6.146216093169438,0.9757236639203422,0.9917322891119273
00530000000000001ec1,2018_2019,2018,7.0,0.399659454675762,0.382613674377911,1.439466730723036,0.057070221795179746,0.004343724313169814
00530000000000001ec3,2018_2019,2018,7.0,0.4926496815358863,0.4956858543049672,10.724938854099808,0.9005338340647712,0.8822499686911809
00530000000000001ec4,2018_2019,2018,7.0,0.3286576554202058,0.348258077564848,2.6169102296450943,0.12565240083507306,-0.6659732007362539
00530000000000001ec8,2018_2019,2018,7.0,-9999,-9999,2.0,0,
005300000000000022e1,2018_2019,2018,7.0,0.5095404484431338,0.5218121760920327,1.5627775445728298,0.12358880321675542,1.041713067566196
