season,silhouette,n
2018_2019,0.3527473653721229,202
2019_2020,0.4166510702570336,270
2020_2021,0.4565853676896924,250
2021_2022,0.41831971720301814,269
2022_2023,0.42440844302483366,270
2023_2024,0.39785099325144774,285
