season,orch_id,z_slope_Intensity,z_level_Intensity_t5,Q,K,cluster,best_soft,uncertain,label,CMI
2018_2019,00530000000000001ea9,-0.0036945271883523675,-0.8589000892769022,0.13928798030691705,2,1,0.7577882948756907,0,NoCover,0.3472038860806218
2018_2019,00530000000000001eab,0.5350306051149416,-1.010243437654816,0.4326969358777313,2,1,0.6574823186404248,0,NoCover,0.0593663968899347
2018_2019,00530000000000001ead,-0.3358764151371891,-0.20846009840823687,0.38064523373515957,2,1,0.9336256531229138,0,NoCover,-2.062097003379664
2018_2019,00530000000000001eae,-0.8187573155551029,0.42761301272477276,0.5811287088641562,2,1,0.6809309902342755,0,NoCover,
2018_2019,00530000000000001eaf,-0.9129064233146434,-0.2525319679594982,0.7404068062072757,2,1,0.7632394734804424,0,NoCover,
2018_2019,00530000000000001eb0,0.30159753313029847,-0.1897601274551597,0.21526593933218743,2,1,0.7329195102317286,0,NoCover,-1.4376424848937177
2018_2019,00530000000000001eb1,0.8744796823692311,-0.642314961435332,0.37754669356210274,2,1,0.5916078071480546,1,NoCover,-0.2373144052251812
2018_2019,00530000000000001eb2,0.006154306337773259,-2.418969147035556,0.419532062666256,2,1,0.6179509861684125,1,NoCover,-0.2448035979283466
2018_2019,00530000000000001eb4,-0.004474955458329111,-1.2415770710527532,0.4000861479706243,2,1,0.7020257235933405,0,NoCover,-2.622223404152873
2018_2019,00530000000000001eb5,0.014708684067745505,-1.1739388464153233,0.41473665426343187,2,1,0.7087398722639944,0,NoCover,-2.1181356621997827
2018_2019,00530000000000001eb7,-0.937460481479387,1.8724210750840846,0.6764660614217123,2,0,0.5158536266574365,1,Cover,0.8949263385886119
2018_2019,00530000000000001eb8,-1.0025976220739434,1.2781325562852959,0.7879439059341907,2,1,0.5396124808167053,1,NoCover,0.4083014215839143
2018_2019,00530000000000001eb9,-0.13928550526111505,0.5242246383320327,0.09683304839076787,2,1,0.6229592808326927,0,NoCover,0.4117541768629774
2018_2019,00530000000000001eba,-0.028572815459687102,-0.28206647793508555,0.1896188790245479,2,1,0.8951347039099142,0,NoCover,-0.0882724417528525
2018_2019,00530000000000001ebb,-1.768851409649841,2.477228825513202,0.6438403916197587,2,0,0.5020177254203343,1,Cover,1.2569727835661977
2018_2019,00530000000000001ebc,-2.1786694486800986,1.79607867472195,0.7513559559097079,2,1,0.5344131168498476,1,NoCover,1.1915595973412871
2018_2019,00530000000000001ebd,-0.7813164053657645,1.5693517085234876,0.4844746392240831,2,0,0.5067815518939394,1,Cover,0.561266869594303
2018_2019,00530000000000001ebe,0.048046880580622495,3.0,0.1945807061644038,2,0,0.5987120022539272,1,Cover,0.583774422982536
2018_2019,00530000000000001ec0,0.378155975216791,-1.6357072138443294,0.3884109435185104,2,1,0.6399640649308855,1,NoCover,0.9917322891119272
2018_2019,00530000000000001ec1,0.9876918678650219,0.8518199377467781,0.595640685247294,2,0,0.8912499817890889,0,Cover,0.0043437243131698
2018_2019,00530000000000001ec3,-0.4490970338073479,-0.9896072634250691,0.6867220765274048,2,1,0.7515945939788723,0,NoCover,0.8822499686911809
2018_2019,00530000000000001ec4,-0.35914106435920423,-0.7743844930061174,0.38108729121590573,2,1,0.7931260591259122,0,NoCover,-0.6659732007362539
2018_2019,00530000000000001ec8,0.974816962081065,2.466340369534113,0.334130312580877,2,0,0.6728742657001563,0,Cover,
2018_2019,005300000000000022e1,-1.691916298556503,1.4857173912167772,0.7871770637019305,2,1,0.5440679482920654,1,NoCover,1.041713067566196
2018_2019,005300000000000022e2,-0.13249854664202065,0.8129545163573049,0.3260944719321775,2,1,0.5215008824260884,1,NoCover,0.3261591691330631
2018_2019,005300000000000022e3,0.42876185167833925,0.24065292665710444,0.33798833935098344,2,1,0.5529057066172358,1,NoCover,
2018_2019,005300000000000022e4,0.9334891922031641,1.7073306661151697,0.7986636328177585,2,0,0.7707743617322893,0,Cover,
2018_2019,00530000000000002410,-0.09546829912569653,0.542176540836772,0.37956677562217234,2,1,0.6062371865897129,0,NoCover,0.4448828125986472
2018_2019,00530000000000002414,0.5701233014494126,-0.3284587542045342,0.3353022329680491,2,1,0.6445377486666521,0,NoCover,-1.448827652608914
2018_2019,00530000000000002416,0.024987897336151216,0.6833424461372171,0.061001415072902465,2,1,0.5208425538425303,1,NoCover,-0.4241525421558993
2018_2019,00530000000000002417,-0.11165462861915412,-0.9608687420944833,0.6381783660660805,2,1,0.7497933055375603,0,NoCover,0.8240920384960094
2018_2019,00530000000000002418,-0.04858083669892166,-0.13205751395222004,0.10114432959400033,2,1,0.8977345766590569,0,NoCover,0.6027145920126411
2018_2019,00530000000000002419,-0.05745592556722233,-0.5669007723141151,0.13109806178260988,2,1,0.8305237623399365,0,NoCover,1.3057807236521235
2018_2019,0053000000000000241a,-0.19177461277130942,-0.011432627618544288,0.20509739197869745,2,1,0.8877550726076642,0,NoCover,0.7688193662881577
2018_2019,0053000000000000241b,-0.6094470743102589,3.0,0.42173880491101085,2,0,0.5632879747384243,1,Cover,
2018_2019,0053000000000000241c,-0.1629348615949748,-0.5677608059010281,0.36020294197247454,2,1,0.8443098068940746,0,NoCover,-0.7248941967847085
2018_2019,0053000000000000241d,-1.3614468070992631,0.6452411795385365,0.6768794157061219,2,1,0.6213346860662852,0,NoCover,0.9257123163837084
2018_2019,0053000000000000241f,0.16462247946834344,0.2972744043428143,0.3429027306701697,2,1,0.6346806282512553,0,NoCover,-0.5293791626970832
2018_2019,00530000000000002420,0.3713304424974078,0.10108870180512307,0.18178026074430756,2,1,0.6287118699173938,0,NoCover,-1.1228392667354188
2018_2019,00530000000000002424,0.23368501567401428,0.024789884711656524,0.15062677237177893,2,1,0.714880198411326,0,NoCover,-0.5575172899499917
2018_2019,0053000000000000242b,0.0,0.49531586169500746,0.11124673575401611,2,1,0.6010750676253491,0,NoCover,-0.3792727488083119
2018_2019,0053000000000000242f,-0.009092240369927241,-0.2247236785256212,0.26671389025759557,2,1,0.8890017086259364,0,NoCover,0.959505771049492
2018_2019,00530000000000002432,0.6625410528054377,1.6877685916001648,0.5500584289961025,2,0,0.7465661506461804,0,Cover,-0.736719593321981
2018_2019,00530000000000002435,-0.043325539010059984,-0.4772574622110012,0.35304929541638935,2,1,0.8525321826361388,0,NoCover,0.9978361339354316
2018_2019,0053000000000000243d,-0.006144459357088707,-0.38320186708859805,0.2566260637861303,2,1,0.8659089953718004,0,NoCover,0.926734445950602
2018_2019,0053000000000000243f,0.8458675901897551,-0.6918880646082481,0.44983765922514785,2,1,0.6001816258878314,0,NoCover,-2.47682655198715
2018_2019,00530000000000002440,0.7886752907940544,-1.0188485528959328,0.5449752770594384,2,1,0.6171516712641606,0,NoCover,
2018_2019,00530000000000002442,-0.10175199143875699,-0.5169219976912462,0.19393461728130232,2,1,0.8526251663641718,0,NoCover,0.5959901529322339
2018_2019,00530000000000002443,-0.0,-1.7056744194550213,0.3645376089588583,2,1,0.6583333274678493,1,NoCover,
2018_2019,00530000000000002445,-0.37058729863865947,-0.3337208954393732,0.16253027246712207,2,1,0.9030871096935523,0,NoCover,0.5222604888815144
2018_2019,00530000000000002446,-0.4349404954486285,0.734857859848848,0.5095021514885018,2,1,0.5954941902467685,1,NoCover,1.062008059902021
2018_2019,00530000000000002448,-0.3985162845334185,-0.13332801251461693,0.6022783844982751,2,1,0.8976483352151161,0,NoCover,1.1168968768112029
2018_2019,00530000000000002449,0.0020019062635450303,0.20226537222494798,0.1991589053917946,2,1,0.7344498092889963,0,NoCover,
2018_2019,0053000000000000244b,-0.4319058441351569,0.26211435744188394,0.3725841714106428,2,1,0.7538842784991346,0,NoCover,1.0268595018016815
2018_2019,0053000000000000244c,0.050349208201676064,1.3610021761531992,0.1819956877223807,2,0,0.6230136857023798,0,Cover,
2018_2019,0053000000000000244d,-0.19144428396677823,-1.2723638261442283,0.5088899560327107,2,1,0.7085382064311361,0,NoCover,0.4692393844311388
2018_2019,0053000000000000244e,-0.006366460379230692,0.8270247854452019,0.2016722547352552,2,0,0.5158731924299904,1,Cover,-0.0510623603104127
2018_2019,00530000000000002453,-0.11903501246858528,-0.700627424920314,0.17642978016911895,2,1,0.8039557225509553,0,NoCover,0.9401899573182833
2018_2019,00530000000000002456,-0.08909969392287333,-0.984316580025919,0.43854149018772737,2,1,0.7441912918815567,0,NoCover,0.6542294709449119
2018_2019,00530000000000002457,-0.0,-0.8509538560756281,0.5175729868904562,2,1,0.7587764617475943,0,NoCover,0.9161640056459968
2018_2019,00530000000000002458,1.642233516292659,-1.459120428368124,0.4291910961783028,2,1,0.5374997678303277,1,NoCover,0.4118578946938289
2018_2019,0053000000000000245a,1.8777695029376544,-1.2810143086953834,0.5701925559843424,2,1,0.5160229960770989,1,NoCover,0.2802274903938703
2018_2019,0053000000000000245c,-0.20502321407072757,-0.1542076737832231,0.10155048099562614,2,1,0.9686120528159198,0,NoCover,0.7625798071335939
2018_2019,0053000000000000245d,-0.17066650327267963,0.130367823403027,0.08773018874442569,2,1,0.8101155872621695,0,NoCover,0.7529349362049523
2018_2019,0053000000000000245e,0.02407519979531171,-0.09977820344660107,0.10675977746123595,2,1,0.8523729047611058,0,NoCover,1.21327954600737
