scope,n,corr_CMI_coverScore,auc_cmi_only,season
GLOBAL,1770,,,
SEASON_2018_2019,295,,,2018_2019
SEASON_2019_2020,295,,,2019_2020
SEASON_2020_2021,295,,,2020_2021
SEASON_2021_2022,295,,,2021_2022
SEASON_2022_2023,295,,,2022_2023
SEASON_2023_2024,295,,,2023_2024
