season,n_trends,n_train,n_assigned_all,lost_pct_train_only,lost_pct_after_all
20182019,295,202,295,31.5,0.0
20192020,295,270,295,8.5,0.0
20202021,295,250,295,15.3,0.0
20212022,295,269,295,8.8,0.0
20222023,295,270,295,8.5,0.0
20232024,295,285,295,3.4,0.0
