season,from_cluster,to_cluster,n
2019_2020,0,0,33
2019_2020,0,1,32
2019_2020,1,0,38
2019_2020,1,1,192
2020_2021,0,0,46
2020_2021,0,1,25
2020_2021,1,0,32
2020_2021,1,1,192
2021_2022,0,0,36
2021_2022,0,1,42
2021_2022,1,0,25
2021_2022,1,1,192
2022_2023,0,0,38
2022_2023,0,1,23
2022_2023,1,0,35
2022_2023,1,1,199
2023_2024,0,0,38
2023_2024,0,1,35
2023_2024,1,0,32
2023_2024,1,1,190
