season,silhouette,n
2018_2019,0.43604425841873545,1991
2019_2020,0.39720212992678205,1585
2020_2021,0.46287162818064953,1882
2021_2022,0.399626258409257,1925
2022_2023,0.506960842039317,2032
2023_2024,0.46063345253289256,1549
