season,n_trends,n_train,n_assigned_all,lost_pct_train_only,lost_pct_after_all
20172018,2281,0,0,100.0,100.0
20182019,2281,1991,2281,12.7,0.0
20192020,2281,1585,2281,30.5,0.0
20202021,2281,1882,2281,17.5,0.0
20212022,2281,1925,2281,15.6,0.0
20222023,2281,2032,2281,10.9,0.0
20232024,2281,1549,2281,32.1,0.0
