season,from_cluster,to_cluster,n
2019_2020,0,0,296
2019_2020,0,1,277
2019_2020,1,0,252
2019_2020,1,1,1456
2020_2021,0,0,354
2020_2021,0,1,194
2020_2021,1,0,262
2020_2021,1,1,1471
2021_2022,0,0,372
2021_2022,0,1,244
2021_2022,1,0,241
2021_2022,1,1,1424
2022_2023,0,0,410
2022_2023,0,1,203
2022_2023,1,0,261
2022_2023,1,1,1407
2023_2024,0,0,356
2023_2024,0,1,315
2023_2024,1,0,202
2023_2024,1,1,1408
