K,silhouette,chosen_k,method,feature_set,k_select,chosen_silhouette,shrink_by_r2,shrink_level
2,0.4434679296798185,2,kmeans,cover2,silhouette,0.4434679296798185,sqrt,False
3,0.35029790677191613,2,kmeans,cover2,silhouette,0.4434679296798185,sqrt,False
