season,from_cluster,to_cluster,n
2019_2020,0,0,79
2019_2020,0,1,56
2019_2020,1,0,63
2019_2020,1,1,333
2020_2021,0,0,85
2020_2021,0,1,57
2020_2021,1,0,42
2020_2021,1,1,347
2021_2022,0,0,53
2021_2022,0,1,74
2021_2022,1,0,59
2021_2022,1,1,345
2022_2023,0,0,66
2022_2023,0,1,46
2022_2023,1,0,78
2022_2023,1,1,341
2023_2024,0,0,73
2023_2024,0,1,71
2023_2024,1,0,67
2023_2024,1,1,320
