season,orch_id,z_slope_Intensity,z_level_Intensity_t5,Q,K,cluster,best_soft,uncertain,label,CMI
2018_2019,0053000000000000485d,0.18058860330352472,0.5763802697615296,0.4636336350954444,2,0,0.5321917671598462,1,Cover,-0.2187487760850812
2018_2019,0053000000000000487a,0.0,1.5455840372708372,0.16607596418585235,2,0,0.6200745186396088,0,Cover,1.693726273647416
2018_2019,005300000000000048fd,0.708334196924956,-1.1154144665136911,0.8586849975689419,2,1,0.6080116493231736,0,NoCover,-0.3680562713260641
2018_2019,005300000000000048ff,0.23854704481357245,-1.4571997860810804,0.788092525999252,2,1,0.6471583263202096,0,NoCover,1.1939937281202757
2018_2019,0053000000000000490e,1.967611935643574,-0.8180206162711751,0.652540143265353,2,0,0.5281424463957642,1,Cover,-1.372110389543152
2018_2019,00530000000000004910,0.9956321984607097,0.06492844781502985,0.36022067801111396,2,0,0.5951824837410623,1,Cover,-0.8088583704361448
2018_2019,00530000000000004911,1.0756469262710628,-1.0091069223955595,0.2506784503265291,2,1,0.5565975061050621,1,NoCover,-1.2312672563337623
2018_2019,00530000000000004912,1.6754100018836917,-1.1611223017522048,0.65865690728293,2,1,0.5095872860270749,1,NoCover,-0.7893272935516674
2018_2019,0053000000000000492c,-1.0085202300521634,-0.45887139137931726,0.18654226973620136,2,1,0.7429167828405792,0,NoCover,-1.0781276447030652
2018_2019,00530000000000004932,-1.4043666868681437,-0.7350656269703767,0.1576900000623252,2,1,0.687998909017816,0,NoCover,
2018_2019,00530000000000004942,0.9900113959446994,0.7602396916493912,0.3366901378088924,2,0,0.8909661124172896,0,Cover,-1.3347378299309438
2018_2019,00530000000000004943,1.708500401190251,0.3552420381620405,0.5894899816130447,2,0,0.6696676945033099,0,Cover,-1.0871769868598715
2018_2019,005300000000000049f1,-0.3213021748775224,0.6677141540412537,0.05627690888470486,2,1,0.5838529434184991,1,NoCover,1.4536552670016634
2018_2019,005300000000000049f2,-0.010448238484163219,1.3833188647147694,0.09882495293886011,2,0,0.614549116552572,0,Cover,1.1924415545536966
2018_2019,005300000000000049f3,0.0,1.3510599604349602,0.006824096186246538,2,0,0.615718184586348,0,Cover,1.45465099702722
2018_2019,005300000000000049fb,0.3697317600840162,-0.1063858416105226,0.38468150580699156,2,1,0.6494268286101451,0,NoCover,0.584652149176027
2018_2019,00530000000000004a01,-0.575086071644655,0.5549486787138583,0.49302831049726953,2,1,0.6440574883468129,0,NoCover,1.1485324151392795
2018_2019,00530000000000004a02,0.3371192709450566,0.10278810972182092,0.590431303265319,2,1,0.5997221798055842,1,NoCover,1.4965118194099014
2018_2019,00530000000000004a06,-0.5921176343169873,-0.46015711137190524,0.41118220925866367,2,1,0.8226578168557066,0,NoCover,1.4681055106443013
2018_2019,00530000000000004a07,-0.7077889872923917,0.05232550533477409,0.39962446874287,2,1,0.772467016940559,0,NoCover,2.3767559709461152
2018_2019,00530000000000004a08,-0.6763974135194012,0.009445408561585385,0.4568795593699356,2,1,0.7879173961251119,0,NoCover,2.200201820756081
2018_2019,00530000000000004a09,-1.0933526027334424,0.8181753354557652,0.4465104786968496,2,1,0.59761792069536,1,NoCover,1.8202703447591255
2018_2019,00530000000000004a0b,-0.9280006199211588,0.6471308881841534,0.3999031352953526,2,1,0.625754458881943,0,NoCover,2.207414609150125
2018_2019,00530000000000004a0f,0.22851028939576457,-0.25726372221249294,0.47055538929044577,2,1,0.7401157677055861,0,NoCover,1.001600693990541
2018_2019,00530000000000004ae6,-1.782782366380827,2.300388343938239,0.46944591885521253,2,1,0.505073887667093,1,NoCover,-0.0869957833291703
2018_2019,00530000000000004ae7,-1.8480197725606913,2.5455273484822767,0.40687001812772927,2,0,0.5005591243593661,1,Cover,0.0240773575224707
2018_2019,00530000000000004b2b,-0.31112828476422855,0.30858902295223956,0.3711294635337851,2,1,0.7212396083462731,0,NoCover,0.2924315213633818
2018_2019,00530000000000004b2d,0.7844779589171942,0.9854263960816179,0.4642905523322194,2,0,0.9299758274563923,0,Cover,0.7221341778453061
2018_2019,00530000000000004c25,0.3014801958217402,3.0,0.520987070062894,2,0,0.6005527842645357,1,Cover,-0.8285153898541162
2018_2019,00530000000000004c2b,0.08024035489444444,3.0,0.5189550944902279,2,0,0.5907267563024046,1,Cover,-1.8243881072754669
2018_2019,00530000000000004d5b,0.25080374456037274,0.3748009239179365,0.12364618526372191,2,1,0.5228891393957239,1,NoCover,-2.013392330827923
