season,orch_id,n_periods_used,slope_Intensity,intercept_Intensity,r2_Intensity,slope_Fill,intercept_Fill,r2_Fill,slope_Uniformity,intercept_Uniformity,r2_Uniformity,z_slope_Intensity,z_slope_Fill,z_slope_Uniformity,pred_Intensity_t5,z_level_Intensity_t5,CMI__summer_year,CMI__stability_score,CMI__EVI2_p90_summer_mean,CMI__EVI2_p90_summer_median,CMI__EVI2_summer_imgcount_mean,CMI__valid_fraction,CMI__CMI_season_z
2018_2019,0053000000000000485d,3,0.005068768205502717,0.5736567937128071,0.7304758680578949,0.011813827911154326,0.27251939926531055,0.681435851298093,-0.019166543262444376,0.6484305765563502,0.9062564561212343,0.2112941156560086,0.39348633752832957,-0.6975471740888018,0.5990006347403207,0.5763802697615296,2018.0,7.0,0.3492781776079121,0.3522579479380832,14.053796859980777,1.0,-0.2187487760850812
2018_2019,0053000000000000487a,5,0.003709893756989605,0.7345591811327519,-0.01446630162851048,0.0290199743983307,0.6368193349033621,-0.001075859443125049,-0.04550737594723725,0.6534315756906695,0.5137700536291926,0.17086372599325814,0.9665760773765404,-1.7788438624580523,0.7531086499176999,1.5455840372708372,2018.0,7.0,0.5290965217563867,0.5301020364245721,13.75607358184381,1.0,1.693726273647416
2018_2019,005300000000000048fd,5,0.025239980817308556,0.2037973098716687,0.7620053449026332,0.0,0.0,1.0,-0.006478915346936134,0.6031216848719622,0.8140496478041926,0.8114452089066431,0.0,-0.1767173957568267,0.32999721395821147,-1.1154144665136911,2018.0,7.0,0.335239706064482,0.326931588857925,7.727212001132176,0.8746560996320407,-0.3680562713260641
2018_2019,005300000000000048ff,5,0.00958675736561364,0.2277179334568629,0.47610875484178705,0.0,0.0,1.0,0.02371450261480623,0.3765751195673672,0.8881688231559686,0.34571717617881076,0.0,1.062728723629865,0.27565172028493107,-1.4571997860810804,2018.0,7.0,0.4821097237501268,0.3345741480142301,12.080046677594082,0.8848776736750512,1.1939937281202757
2018_2019,0053000000000000490e,5,0.06973482253816321,0.028610139889428798,0.8491094788419562,0.013892246598150186,-0.04561232583849982,0.3068964433963093,-0.02669103995740183,0.722189457472617,0.8016145075577936,2.135293626782905,0.4627127866646223,-1.006429336443528,0.37728425258024484,-0.8180206162711751,2018.0,7.0,0.2408346318657325,0.2369159737760308,26.52773286668061,1.0,-1.372110389543152
2018_2019,00530000000000004910,5,0.0408143245316133,0.31360573643962986,0.6099522067818393,0.08039674476828589,-0.2531679909190411,0.473358351264046,-0.0002711754670924514,0.3349525070815787,-0.0026485240125433407,1.2748263445221855,2.6777959596147234,0.07811162406409643,0.5176773590976964,0.06492844781502985,2018.0,7.0,0.293793777883493,0.2176707355537884,26.86147729103792,0.93482795712973,-0.8088583704361448
2018_2019,00530000000000004911,5,0.04174296026748535,0.13818581845929903,0.6820456171927272,0.003378272544832603,-0.0121587400476532,0.1270126164012797,0.0010434494115720398,0.5459132983558056,-0.05702288261441968,1.3024559056616594,0.11252103051066066,0.1320772501609663,0.3469006197967258,-1.0091069223955595,2018.0,7.0,0.2540772511626158,0.2238536665174316,20.953631939437635,0.9766807858687816,-1.2312672563337623
2018_2019,00530000000000004912,5,0.057281219195763566,0.03632335447826348,0.9012996932062007,0.002793554327638854,-0.009019423826557757,0.164156482686309,-0.034365611043849074,0.7167735610893916,0.9105145459562805,1.7647634159974375,0.09304566388944656,-1.3214720839425733,0.3227294504570813,-1.1611223017522048,2018.0,7.0,0.2956301657126019,0.2817944195400712,16.90286718967442,0.9558799903152304,-0.7893272935516674
2018_2019,0053000000000000492c,3,-0.05359472502022446,0.7023643150023992,0.4321704272542658,-0.018577752984679462,0.16738776137466413,-0.0018661596301561278,0.013539812243519083,0.5196260400891327,0.5024070810568971,-1.5341120862852355,-0.6187742056531487,0.6450555568280085,0.4343906899012769,-0.45887139137931726,2018.0,7.0,0.2684760331968307,0.270268615783932,4.213920639345785,0.677655422358517,-1.0781276447030652
2018_2019,00530000000000004932,3,-0.06192499921873794,0.7000994870724703,0.6211041139032762,-0.007329081828745467,0.06246437726530589,-0.007128640833681921,0.0058201614662402625,0.6010112821826337,0.17447452724203172,-1.781961497400428,-0.24411169588102635,0.32816227859623354,0.39047449097878056,-0.7350656269703767,2018.0,7.0,-9999.0,-9999.0,1.0,0.0,
