K,silhouette,chosen_k,method,feature_set,k_select,chosen_silhouette,shrink_by_r2,shrink_level
2,0.3882249017222369,2,kmeans,cover2,silhouette,0.38922771175790016,sqrt,False
3,0.37592397557149665,2,kmeans,cover2,silhouette,0.38922771175790016,sqrt,False
