season,orch_id,z_slope_Intensity,z_level_Intensity_t5,Q,K,cluster,best_soft,Dmin,D2,uncertain,label,CMI
2018_2019,005300000000000053b9,1.6637915387813496,1.0090196138721883,0.4620155685597579,2,0,0.741383813562299,0.7876317015938112,2.257930575242047,0,Cover,-1.88620403769714
2018_2019,005300000000000053be,-1.1540445776500423,-0.37379383138246036,0.5171110218815993,2,1,0.721802581075583,0.9291332399595785,2.4107009092997758,0,NoCover,1.054587087158499
2018_2019,005300000000000053c1,1.5183476008161856,-0.40787387126516733,0.5275000165200419,2,0,0.5462632207672107,1.4707201554257918,1.7706308276542906,1,Cover,-0.432750308429756
2018_2019,005300000000000053c3,0.6812317978013909,1.7364119087580172,0.374503250842711,2,0,0.7182491138764868,0.8427504848618056,2.1483687142890457,0,Cover,0.6704890673961552
2018_2019,005300000000000053c5,0.6128905699148309,-0.14709798263836393,0.5238847436203725,2,1,0.5621719981274358,0.8553229467808149,1.0982363119295682,1,NoCover,0.6649223704946353
2018_2019,005300000000000053c6,0.5610748500928828,0.4333139451926825,0.5352536700879925,2,0,0.6381134509085697,0.5808331977054565,1.024181410225466,0,Cover,0.9479667374978225
2018_2019,005300000000000053c7,0.7746067188466806,0.8411006809094571,0.5649495974370632,2,0,0.9172057043250115,0.13152763338406845,1.4570797979827501,0,Cover,-0.2528472355107414
2018_2019,005300000000000053c9,0.10038521844460879,1.3065021209339356,0.2163335288099918,2,0,0.6396478923091231,0.8724527040983346,1.54865899603568,0,Cover,0.0951826461435353
2018_2019,005300000000000053ca,0.9458989996972427,2.7134434651008417,0.5669944810546953,2,0,0.6367460654111494,1.7968061884636384,3.1496128792261735,1,Cover,-2.172615321566294
2018_2019,005300000000000053cb,1.476390233163061,-0.194096005571842,0.5530546841623283,2,0,0.5765447665162645,1.2610465759167588,1.716946081163472,1,Cover,-2.424487327923574
2018_2019,005300000000000053ce,0.6223487511997782,0.714888897480018,0.36557765246123486,2,0,0.7929835246423964,0.32910357216555397,1.2606422275204625,0,Cover,0.3426927301554239
2018_2019,00530000000000005468,0.24484727006464688,-0.22113308032682025,0.21429811312583213,2,1,0.7287429486027679,0.485669974695795,1.3047718670706479,0,NoCover,-0.5321883768969412
2018_2019,00540000000000000443,0.36458149449120014,0.1637176589255219,0.5099512336708738,2,1,0.5635036985111415,0.708163300658742,0.9142176868622206,1,NoCover,-0.0672470454272286
2018_2019,005400000000000007f4,0.20674108260395227,2.3620514473106367,0.36532311456690275,2,0,0.6203636476074694,1.5940918438320488,2.6049049956060615,1,Cover,-0.6726051792698867
2018_2019,00540000000000000a6d,-0.027048976341440493,-1.5762411427236869,0.4407282210886024,2,1,0.6565413606391202,1.38858109482224,2.6543543148275544,0,NoCover,
