K,silhouette,chosen_k,method,feature_set,k_select,chosen_silhouette,shrink_by_r2,shrink_level
2,0.3733377937317156,3,kmeans,cover2,silhouette,0.37638222600925136,sqrt,False
3,0.37638222600925136,3,kmeans,cover2,silhouette,0.37638222600925136,sqrt,False
