cluster,n,centroid_z_slope_Intensity,centroid_z_level_Intensity_t5,mean_silhouette,uncertain_rate,mean_slope_Intensity,p25_slope_Intensity,p75_slope_Intensity,mean_slope_Fill,p25_slope_Fill,p75_slope_Fill,mean_slope_Uniformity,p25_slope_Uniformity,p75_slope_Uniformity,mean_z_slope_Intensity,p25_z_slope_Intensity,p75_z_slope_Intensity,mean_z_slope_Fill,p25_z_slope_Fill,p75_z_slope_Fill,mean_z_slope_Uniformity,p25_z_slope_Uniformity,p75_z_slope_Uniformity,mean_r2_Intensity,p25_r2_Intensity,p75_r2_Intensity,mean_r2_Fill,p25_r2_Fill,p75_r2_Fill,mean_r2_Uniformity,p25_r2_Uniformity,p75_r2_Uniformity,mean_z_level_Intensity_t5,p25_z_level_Intensity_t5,p75_z_level_Intensity_t5,mean_CMI__summer_year,mean_CMI__stability_score,mean_CMI__EVI2_p90_summer_mean,mean_CMI__EVI2_p90_summer_median,mean_CMI__EVI2_summer_imgcount_mean,mean_CMI__valid_fraction,mean_CMI__CMI_season_z,label
0,4068,1.1178089932819477,0.7194371338421828,0.2836318896606641,0.37684365781710916,0.04458402713134669,0.024329206284646614,0.0558617972166013,0.09064532950247167,0.04751099271944663,0.12162255693482077,-0.0037458169199339336,-0.026940397827519943,0.01995074772957138,1.2565995633065168,0.7031786639383071,1.6342556078776087,1.9433267689195093,1.1898253391141256,3.0,-0.07808132744411646,-0.7453740568135913,0.6327275164520201,0.7642231067006842,0.6489765457620337,0.9212896711481245,0.6810579431873144,0.5254780068690713,0.8767491133142515,0.3929556436650229,0.08506385131011412,0.689081972883492,0.7194371338421828,0.25917372965113483,1.0847042101377076,2020.5710422812192,7.3780727630285154,-16.790322468615173,-16.783054875729825,33.96968561324216,0.9525871479347513,-0.15177181368312145,Cover
1,9755,-0.022318766320611187,-0.5138134283156336,0.4675697146737401,0.20512557662737058,-0.000553283314361943,-0.012808593312241639,0.012274817337308539,-0.000774822115813929,-0.0026219623047981614,0.0013516495703924819,-0.006941934685380603,-0.021111528058543917,0.007189871009254504,-0.04072903673041699,-0.40892882928583274,0.3420567956746433,-0.009005552545161109,-0.06653141750899841,0.03546709333187108,-0.11827800904465091,-0.5301810600120168,0.2619544908068929,0.4622926604218597,0.1845406468169845,0.7358758650617205,0.656820408602947,0.39228012359011055,1.0,0.4522041882370346,0.19042090275876278,0.7077603761710486,-0.5138134283156336,-0.7575224535411771,-0.19482515072583675,2020.5339825730396,7.445822655048693,-37.50295857054187,-37.4906737313386,29.74246133302631,0.9423834428831469,-0.06959689162032569,NoCover
2,4629,-0.7431589013400917,0.6712504402435739,0.26572645075411333,0.3862605314322748,-0.0285764301730616,-0.041511308917577365,-0.01252658302778276,-0.06875663467722003,-0.10052793175187645,-0.029483372086072022,0.014005619706469751,-0.008325163590134044,0.04010896418264372,-0.8821610784383093,-1.2707584065715452,-0.3945703442802249,-1.5303295015909189,-2.6222875738276166,-0.7552128730670393,0.402500916776159,-0.21197659191661858,1.1919829789099454,0.5840408477885792,0.35906154451635264,0.8332185763768617,0.5605785728697441,0.34956336040720326,0.7938991744221561,0.4509372231709061,0.15197173788420004,0.7327133862377904,0.6712504402435739,0.2545052997578342,0.9697857500000122,2020.453013609851,7.371354504212573,-8.19257236485217,-8.179594132877032,34.57452660931012,0.9705825407049179,0.20302691947239715,Baseline
