season,n_trends,n_train,n_assigned_all,lost_pct_train_only,lost_pct_after_all
20172018,1011,3,3,99.7,99.7
20182019,3611,3361,3611,6.9,0.0
20192020,3611,2862,3611,20.7,0.0
20202021,3611,2748,3611,23.9,0.0
20212022,3611,2996,3611,17.0,0.0
20222023,3611,3220,3611,10.8,0.0
20232024,3611,3262,3611,9.7,0.0
