scope,n,corr_CMI_coverScore,auc_cmi_only,season
GLOBAL,21669,,,
SEASON_2017_2018,3,0.8539060904302501,,2017_2018
SEASON_2018_2019,3611,,,2018_2019
SEASON_2019_2020,3611,,,2019_2020
SEASON_2020_2021,3611,,,2020_2021
SEASON_2021_2022,3611,,,2021_2022
SEASON_2022_2023,3611,,,2022_2023
SEASON_2023_2024,3611,,,2023_2024
