orch_id,season,summer_year,stability_score,EVI2_p90_summer_mean,EVI2_p90_summer_median,EVI2_summer_imgcount_mean,valid_fraction,CMI_season_z
005300000000000050ce,2021_2022,2021,7.0,0.33134288184980876,0.33424625978016415,3.433551198257081,0.787678528201404,-0.63694692334534
0053000000000000512a,2021_2022,2021,7.0,0.3892798305589004,0.40317533973866815,9.982407804878044,0.9870048780487802,-0.020714708055213898
00530000000000005259,2021_2022,2021,7.0,0.43071594347461273,0.4340777570421323,6.724651293852436,0.9569922178235875,0.4200103943879922
005300000000000050cc,2021_2022,2021,7.0,0.4919389006119041,0.48864561574484144,28.729058243200445,1.0,1.0711934363662654
00530000000000005153,2021_2022,2021,7.0,0.2657362852502001,0.2655554136252016,24.204401184934415,1.0,-1.3347554766266116
00530000000000005171,2021_2022,2021,7.0,0.3635429503844419,0.39345053128643165,16.583927867206818,0.9954289606711362,-0.2944587528822469
00530000000000005173,2021_2022,2021,7.0,0.4423670266529927,0.44412741398761646,18.265550138983976,1.0,0.5439342971394663
005300000000000051af,2021_2022,2021,7.0,0.19593401022566848,0.19659791719764266,34.43995723640251,1.0,-2.0771903395089883
005300000000000051b8,2021_2022,2021,7.0,0.2528112292649173,0.25921933475436276,25.538886164623467,0.9891138353765325,-1.4722296802225263
005300000000000051b9,2021_2022,2021,7.0,0.2550271928143977,0.2549136333188394,28.565241101992918,0.9994743654605543,-1.4486601247398057
00530000000000005246,2021_2022,2021,7.0,0.3713979573239757,0.3896411455041984,8.653620873269434,0.9486155484558041,-0.21091088860356377
00530000000000005248,2021_2022,2021,7.0,0.2736170123706963,0.2885559326955538,18.244511202903958,0.926937038427838,-1.2509340459201947
0053000000000000524f,2021_2022,2021,7.0,0.396054067964609,0.4004918525603549,21.697936728725296,1.0,0.05133781484138742
0053000000000000525d,2021_2022,2021,7.0,0.3349096962641306,0.33512295600768427,18.816429669485,1.0,-0.5990093723171931
0053000000000000485d,2021_2022,2021,7.0,0.5054332460811896,0.510181657901891,24.620714514578662,1.0,1.2147227486222822
0053000000000000487a,2021_2022,2021,7.0,0.4117426271491502,0.41064959113177746,10.629002686715172,0.9846638146743077,0.21820534577649478
005300000000000048fd,2021_2022,2021,7.0,0.4030918893016327,0.4123633190208465,20.51593279258401,0.9606439331236551,0.12619388389511818
005300000000000048ff,2021_2022,2021,7.0,0.47828557580948633,0.4357655850812879,20.990839370597733,0.903282745060801,0.925973179232682
