season,orch_id,z_slope_Intensity,z_level_Intensity_t5,Q,K,cluster,best_soft,uncertain,label,CMI
2018_2019,005300000000000024a5,-0.34605078503848063,-1.113585166973384,0.6938472420138774,3,1,0.7279440057081814,0,NoCover,-0.2614229688230598
2018_2019,005300000000000024a6,-0.8837445313745363,-0.23119568689722161,0.545688541637728,3,1,0.5876318219777397,1,NoCover,-0.0077427660140701
2018_2019,005300000000000024a7,-0.7997951164884886,-0.15882818407398253,0.5510816965232723,3,1,0.5914924110252542,1,NoCover,0.241278632859728
2018_2019,005300000000000024a8,-0.0008505326428694164,-0.6017080839386371,0.33714860116716383,3,1,0.8850416776157564,0,NoCover,0.6354563358156157
2018_2019,0053000000000000256d,0.5844799820314788,0.2955853144417355,0.6834329600779904,3,0,0.5207420600091177,1,Cover,-0.2114374942756934
2018_2019,0053000000000000256e,0.19836143767442418,0.23129743637647246,0.41222751355556336,3,1,0.6533078933648739,0,NoCover,-0.0719136014019283
2018_2019,0053000000000000256f,0.7806429837602525,0.3682103712998909,0.6394474681092519,3,0,0.6363831951747432,0,Cover,0.036008459227427
2018_2019,00530000000000002570,1.26997790404899,-0.44290193428055347,0.8492153588420462,3,0,0.5420750733499748,1,Cover,-0.2887233228545922
2018_2019,00530000000000002571,-0.2893147251025749,-0.6897313665820559,0.6647728399773403,3,1,0.8110344541283969,0,NoCover,0.8855160198708907
2018_2019,00530000000000002572,-1.4286426322850703,-0.420402463811715,0.6228381396757756,3,1,0.5268590304579055,1,NoCover,1.0549258806162776
2018_2019,00530000000000002573,-0.9599374877785147,0.17439728251559927,0.8750639639057397,3,2,0.5616543868871928,1,Baseline,0.61467242752874
2018_2019,00530000000000002574,0.6084761358857571,-1.2284483354891857,0.7053892869399659,3,1,0.65413254157042,0,NoCover,-0.7430963990569213
2018_2019,00530000000000002575,0.4520358862072247,-1.2296245790483835,0.9583836947544299,3,1,0.6792375501304011,0,NoCover,-1.9650078243105156
2018_2019,00530000000000002576,0.35411361299680516,-0.6355283397258249,0.923613151732579,3,1,0.7769884764581458,0,NoCover,-0.129995224918563
2018_2019,00530000000000002577,0.4945821850206197,-0.5690839923056081,0.6601965434156366,3,1,0.7262075045563384,0,NoCover,-0.5309613450857401
2018_2019,00530000000000002578,-0.19557180732407994,-0.9529307609900886,0.8579481390624224,3,1,0.7713974294976675,0,NoCover,0.0895138126708284
2018_2019,00530000000000002579,-0.2407761514775792,-0.9433949094393399,0.5432489429046288,3,1,0.7680480558348866,0,NoCover,0.238025332036029
2018_2019,00530000000000002bb8,-0.4698921523089017,-1.0722294891441975,0.9201027717271913,3,1,0.7169340012408667,0,NoCover,1.2054132714549777
2018_2019,00530000000000002f1f,-0.40031865416959245,-1.0385846481052385,0.5955287036883412,3,1,0.7310728474787973,0,NoCover,-0.1619333052133773
2018_2019,005300000000000030fb,2.4622405945059853,-0.3045637899998131,0.6563378522003321,3,0,0.6279367852864021,0,Cover,0.1839113197604804
