season,silhouette,n
2018_2019,0.4334312058081673,187
2019_2020,0.4121540551873574,171
2020_2021,0.3932571361148874,176
2021_2022,0.3369586808948185,175
2022_2023,0.415243474191735,176
2023_2024,0.42829397737667424,188
