season,orch_id,n_periods_used,slope_Intensity,intercept_Intensity,r2_Intensity,slope_Fill,intercept_Fill,r2_Fill,slope_Uniformity,intercept_Uniformity,r2_Uniformity,z_slope_Intensity,z_slope_Fill,z_slope_Uniformity,pred_Intensity_t5,z_level_Intensity_t5,CMI__summer_year,CMI__stability_score,CMI__EVI2_p90_summer_mean,CMI__EVI2_p90_summer_median,CMI__EVI2_summer_imgcount_mean,CMI__valid_fraction,CMI__CMI_season_z
2018_2019,00530000000000001ea7,5,0.06162675590052407,0.3987672704966295,0.8665044842963231,0.1238648716799326,-0.0032049797345872987,0.8256812456748694,0.01992529147821555,0.26458262305447544,0.117510697374686,2.7420388533210325,3.0,0.6574814749734996,0.7069010499992499,1.308024244978248,2018.0,7.0,0.2636239045181971,0.2665016894303526,5.79412310317961,0.4130152487663711,-2.3333934903536213
2018_2019,00530000000000001ea8,5,0.023882334246383394,0.5403123006190813,0.8749569245415496,0.0720284933712324,0.17120162355370752,0.8927199988027393,0.06314087653667073,-0.0041578317434812035,0.6089743101375487,1.0433244883430142,2.887559158901221,1.9792025624212641,0.6597239718509983,1.000727683814598,2018.0,7.0,0.4211708508006462,0.4185003231435535,5.897536597155083,0.7352489297058418,-0.0298764084524951
2018_2019,00530000000000001eac,5,0.03796863284638549,0.6049796712452746,0.8258515541267795,0.05073398645651028,0.6504805678094098,0.7368214795379133,0.012436024999417185,0.5592825226721774,0.6308123384436277,1.677288309552294,2.0338810435062724,0.4284270396082477,0.7948228354772021,1.880718938868361,2018.0,7.0,0.4473942824445983,0.4566249331788716,16.305568143197007,1.0,0.3535402439376712
2018_2019,00530000000000001eb3,5,0.016301794436257216,0.4233142290371544,0.7863741484057999,0.02081680456357931,-0.03762388695950645,0.5340717475272239,-0.011145623555852423,0.5303995090597958,0.46369524911567905,0.7021569381353289,0.8345274468926699,-0.2928026308942422,0.5048232012184405,-0.008246928546986736,2018.0,7.0,0.1915335864748506,0.1939684518221646,13.361822535815936,0.9138967798410412,-3.3874366373075464
2018_2019,005300000000000022e0,5,0.0009999024842104597,0.44427290345816545,-0.0021763606077147557,0.0,0.0,1.0,-0.01201744862883723,0.5568741553263675,0.8968181784744894,0.013484479236179521,0.0,-0.3194668443249072,0.44927241587921773,-0.37008716907735345,2018.0,7.0,0.17557679726772,0.1648505169041632,5.667843063300916,0.5221405030667134,-3.620743200070264
2018_2019,005300000000000023e3,5,0.09219338862893274,0.1271316405549523,0.959945982052176,0.23385307165305735,-0.8316502484292952,0.9030532948304412,0.02933934470548422,0.28933083772889334,0.3626508451022028,3.0,3.0,0.9454042845804066,0.588098583699616,0.5341825662520949,2018.0,7.0,0.1986291850496379,0.1151436613976245,6.801958741404459,0.5823993093799303,-3.2836908465511003
2018_2019,005300000000000023e4,5,0.00872161195152523,0.4932404443499622,0.5873695221434427,0.01755663773864111,0.03186769188419021,0.3511158179190029,-0.018385559506636784,0.6064498675571319,0.9128188244963781,0.36100546960947866,0.7038302167510208,-0.514231451190883,0.5368485041075883,0.20035576230075422,2018.0,7.0,0.425248945043546,0.4345779838809445,16.51918834693091,1.0,0.0297500074939031
2018_2019,005300000000000023e5,5,0.0027231755452669626,0.41640584456846613,0.8091381202581044,0.0,0.0,1.0,-0.012599622834516098,0.5349226609459599,0.6807022770880222,0.09104160093273582,0.0,-0.33727227084344424,0.43002172229480096,-0.49548009654769654,2018.0,8.0,0.5164261633070314,0.5303338156518572,21.04337863088892,0.9844051405317464,1.3628655308733828
2018_2019,005300000000000023e6,5,-0.0321656601356464,0.7411693711108573,0.8191610491965555,-0.11156091777093363,0.835453181693745,0.877387163137042,0.040461326432710054,0.017843870467620905,0.6372246390990912,-1.479155099697422,-3.0,1.2855629973040468,0.5803410704326253,0.4836525791546218,2018.0,8.0,0.472116178554249,0.4579484196832735,16.195274343744533,0.9804297235141498,0.7150027243558619
2018_2019,005300000000000023e7,5,-0.030358874719294406,0.70461703434067,0.9166143848761149,-0.09842341082060972,0.6724140407359928,0.9126922232595143,-0.0002211978026146323,0.2559550200248927,-0.0003622029187302367,-1.397839445444889,-3.0,0.041313958451499,0.552822660744198,0.3044063647245408,2018.0,8.0,0.459472544492797,0.4656990015059101,12.135441069983386,0.9824798130693264,0.5301382904515276
2018_2019,005300000000000023e8,5,-0.020405145304717848,0.5584425616381928,0.9365976316267801,-0.005769300260120037,0.035318895016213867,0.4789165904641344,0.008834508629427347,0.4720728246449861,0.7397295847489556,-0.9498648203047387,-0.23128619004565157,0.31827696003475464,0.4564168351146036,-0.3235506825309334,2018.0,8.0,0.5112681731938085,0.5283737120659531,26.705113085896965,0.9870834145843194,1.2874497985190088
2018_2019,005300000000000023e9,5,-0.045845184745284595,0.8013231556742906,0.8038661605965977,-0.13646536221957126,0.9448208028661307,0.8006622022017055,0.07066719141010754,0.0813580286837695,0.7788411571349036,-2.0948117700630013,-3.0,2.209390099291065,0.5720972319478677,0.42995482345229113,2018.0,8.0,0.4507000184646083,0.4516462252238408,7.54063569197204,0.9525958248623988,0.4018738966680584
2018_2019,005300000000000023ea,5,-0.0719765887693281,0.9931586099440861,0.842629591289745,-0.2310578812921022,1.6024714052734943,0.8284929727171151,0.026243523033329493,0.32797376149858876,-0.03213837942821485,-3.0,-3.0,0.8507205545897111,0.6332756660974457,0.8284517878565796,2018.0,8.0,0.4325686201719522,0.4306209701403331,4.270671711233039,0.76264310510701,0.1367720545097952
