season,orch_id,CMI_z,cmi_cluster,cmi_label
2018_2019,00530000000000001ea7,-1.99782062515746,0,Young
2018_2019,00530000000000001ea8,-0.0998637637098015,1,Old
2018_2019,00530000000000001eac,0.21604805301378874,1,Old
2018_2019,00530000000000001eb3,-2.8662875615398113,0,Young
2018_2019,005300000000000022e0,-3.0,0,Young
2018_2019,005300000000000023e3,-2.7808073899536723,0,Young
2018_2019,005300000000000023e4,-0.05073525228778111,1,Old
2018_2019,005300000000000023e5,1.0476702141098297,1,Old
2018_2019,005300000000000023e6,0.5138709779036688,1,Old
2018_2019,005300000000000023e7,0.3615540172337724,1,Old
2018_2019,005300000000000023e8,0.9855322739105964,1,Old
2018_2019,005300000000000023e9,0.255872019833586,1,Old
2018_2019,005300000000000023ea,0.0374443536096259,1,Old
2018_2019,005300000000000023eb,0.8875586184539582,1,Old
2018_2019,005300000000000023ec,0.5681048855763609,1,Old
2018_2019,005300000000000023ed,0.7812075535285942,1,Old
2018_2019,005300000000000023ee,0.6565536953254147,1,Old
2018_2019,005300000000000023ef,-0.032329851714718055,1,Old
2018_2019,005300000000000023f0,-0.016585388060307196,1,Old
2018_2019,005300000000000023f1,-0.36204833096357747,1,Old
2018_2019,005300000000000023f2,-1.161123891142215,0,Young
2018_2019,005300000000000023f3,0.7756497214469965,1,Old
2018_2019,005300000000000023f4,-0.09501396256596455,1,Old
2018_2019,005300000000000023f5,0.12313555627899932,1,Old
2018_2019,005300000000000023f6,0.6628686495740825,1,Old
2018_2019,005300000000000023f7,0.364793907086318,1,Old
2018_2019,005300000000000023f8,0.8277962703284956,1,Old
2018_2019,005300000000000023f9,0.572836595361439,1,Old
2018_2019,005300000000000023fa,-0.13364648179384767,1,Old
2018_2019,005300000000000023fb,-0.7446201396504991,0,Young
2018_2019,005300000000000023fc,-0.34586503392014945,1,Old
2018_2019,005300000000000023fd,-0.18787276785283388,1,Old
2018_2019,005300000000000023fe,0.2177218814358074,1,Old
2018_2019,005300000000000023ff,-1.4586327974306035,0,Young
2018_2019,00530000000000002400,-0.20458691847719815,1,Old
2018_2019,00530000000000002401,-0.161575519226087,1,Old
2018_2019,00530000000000002402,-0.1092729295955336,1,Old
2018_2019,00530000000000002403,-0.5670582221200606,0,Young
2018_2019,00530000000000002404,-0.2008824630587686,1,Old
2018_2019,00530000000000002405,-0.42797782294140346,0,Young
2018_2019,00530000000000002406,-0.07588124677766087,1,Old
2018_2019,00530000000000002407,-0.43840387960665383,0,Young
2018_2019,00530000000000002408,-0.49281426489478286,0,Young
2018_2019,00530000000000002409,-0.45066105448580757,0,Young
2018_2019,0053000000000000240a,-0.6359534710991812,0,Young
2018_2019,0053000000000000240b,-0.7270666806368675,0,Young
2018_2019,0053000000000000240c,-0.2686177941269113,1,Old
2018_2019,0053000000000000240d,-1.3006026516617626,0,Young
2018_2019,0053000000000000240e,-0.317516556748949,1,Old
2018_2019,0053000000000000240f,0.5107477107535003,1,Old
2018_2019,00530000000000002410,0.20313706440987433,1,Old
2018_2019,00530000000000002411,0.06641184404308809,1,Old
2018_2019,00530000000000002412,-1.3774407909404427,0,Young
2018_2019,00530000000000002413,-1.037260296872153,0,Young
2018_2019,00530000000000002415,-0.3899464346575575,1,Old
2018_2019,0053000000000000241e,-0.31958329592485785,1,Old
2018_2019,00530000000000002421,-0.06710026890459654,1,Old
2018_2019,00530000000000002422,-1.2477268531624026,0,Young
2018_2019,00530000000000002423,0.001493540562269709,1,Old
2018_2019,00530000000000002425,0.3462803389906765,1,Old
2018_2019,00530000000000002426,0.04367145114266598,1,Old
2018_2019,00530000000000002427,-0.1678384571485473,1,Old
2018_2019,00530000000000002428,-0.9790289082483775,0,Young
2018_2019,00530000000000002429,-0.53275423847849,0,Young
2018_2019,0053000000000000242a,-1.3590612234888972,0,Young
2018_2019,0053000000000000242c,-3.0,0,Young
2018_2019,0053000000000000242d,0.7704843495552591,1,Old
2018_2019,0053000000000000242e,0.3682315853562271,1,Old
2018_2019,00530000000000002430,-0.6102026264785736,0,Young
2018_2019,00530000000000002431,0.5361211267233698,1,Old
2018_2019,00530000000000002433,-1.1162925432322905,0,Young
2018_2019,00530000000000002434,0.44276219458514227,1,Old
2018_2019,00530000000000002436,-0.5138844615060999,0,Young
2018_2019,00530000000000002437,-0.03869627197662559,1,Old
2018_2019,00530000000000002438,-0.032007280291563925,1,Old
2018_2019,00530000000000002439,-1.1476778926956237,0,Young
2018_2019,0053000000000000243a,-0.49656252487583263,0,Young
2018_2019,0053000000000000243b,0.31450756076806635,1,Old
2018_2019,0053000000000000243c,-0.40767506076828325,1,Old
2018_2019,00530000000000002487,0.8614069577735417,1,Old
2018_2019,00530000000000002488,0.7844510312976665,1,Old
2018_2019,00530000000000002489,-0.4218600268209371,0,Young
2018_2019,0053000000000000248a,0.5992280112935031,1,Old
2018_2019,0053000000000000248b,0.2533169126104199,1,Old
2018_2019,0053000000000000248c,0.3741575342447787,1,Old
2018_2019,0053000000000000248d,0.12815622949319633,1,Old
2018_2019,0053000000000000248e,0.45483577229379907,1,Old
2018_2019,0053000000000000248f,0.4941231939719762,1,Old
2018_2019,00530000000000002490,0.40743911786114984,1,Old
2018_2019,00530000000000002491,0.643777708095681,1,Old
2018_2019,00530000000000002492,0.859206524092614,1,Old
2018_2019,00530000000000002493,0.728234334028469,1,Old
2018_2019,00530000000000002494,0.774848534910838,1,Old
2018_2019,00530000000000002495,1.5579478117154224,1,Old
2018_2019,00530000000000002496,0.8685792577424225,1,Old
2018_2019,00530000000000002497,0.9657502440079061,1,Old
2018_2019,00530000000000002498,-0.4872847531085344,0,Young
2018_2019,00530000000000002499,-0.6062940528513198,0,Young
2018_2019,0053000000000000249a,-0.8033733358753783,0,Young
2018_2019,0053000000000000249b,-0.016727916669967424,1,Old
2018_2019,0053000000000000249c,0.5471706496386182,1,Old
2018_2019,0053000000000000249d,0.5520680696023632,1,Old
2018_2019,0053000000000000249e,0.08246052364668546,1,Old
