K,silhouette,chosen_k,method,feature_set,k_select,chosen_silhouette,shrink_by_r2,shrink_level
2,0.3990151234138479,3,kmeans,cover2,silhouette,0.4147171547288998,sqrt,False
3,0.4147171547288998,3,kmeans,cover2,silhouette,0.4147171547288998,sqrt,False
