season,from_cluster,to_cluster,n
2019_2020,0,0,2438
2019_2020,0,1,313
2019_2020,1,0,392
2019_2020,1,1,491
2020_2021,0,0,2558
2020_2021,0,1,275
2020_2021,1,0,412
2020_2021,1,1,392
2021_2022,0,0,2526
2021_2022,0,1,444
2021_2022,1,0,249
2021_2022,1,1,418
2022_2023,0,0,2413
2022_2023,0,1,362
2022_2023,1,0,374
2022_2023,1,1,488
2023_2024,0,0,2442
2023_2024,0,1,345
2023_2024,1,0,387
2023_2024,1,1,463
