season,orch_id,z_slope_Intensity,z_level_Intensity_t5,Q,K,cluster,best_soft,Dmin,D2,uncertain,label,CMI
2021_2022,0057000000000000942f,0.9383530440659285,0.16698622376016894,0.3346771811440374,2,1,0.553765489241463,1.0228760057548338,1.2693626738938693,1,Cover,0.8931032292646679
2021_2022,00570000000000009431,1.3245487380382308,1.3956811355636694,0.430041242800211,2,1,0.8408979042743894,0.4346646182473149,2.297320879900633,0,Cover,-0.649412446443503
2021_2022,00570000000000009433,1.5579266376306007,1.6581370268621833,0.35905882262588906,2,1,0.7738518385967037,0.7739612719290108,2.6484024878575836,0,Cover,0.1939234968938702
2021_2022,00570000000000009436,0.7480429651267135,0.06545606830267645,0.5252032005307222,2,0,0.5193411998071735,1.0559739396236816,1.1409564800421084,1,NoCover,0.2888351782074999
2021_2022,00570000000000009437,0.6929700006925472,-0.06563814449400343,0.27024781209851695,2,0,0.5695494634008901,0.9673125507301908,1.2798969855215316,1,NoCover,0.7702581497851693
2021_2022,0057000000000000946b,-0.7079260530133501,-0.06682489008257485,0.7040959735416351,2,0,0.8049808793332583,0.5024034549441203,2.073771913022245,0,NoCover,0.6094303350479217
2021_2022,0057000000000000946c,-0.37084607924065205,-0.6487064609498909,0.7664486945991662,2,0,0.8523330869503003,0.3913731725223196,2.259005063464754,0,NoCover,-1.312788007097179
2021_2022,0057000000000000946d,-0.01675780983176718,-0.49534671338509906,0.6354320262037358,2,0,0.8579525079212467,0.3209823217716147,1.9387008100759868,0,NoCover,-1.0716285283629166
2021_2022,0057000000000000946e,-0.7820642774854826,-0.23400767694991997,0.8446810428540318,2,0,0.8076273177687949,0.5325543444253306,2.235792690343747,0,NoCover,0.2895814940624837
2021_2022,00570000000000009470,-0.30593256370441213,-0.15913094304471614,0.3619865127996607,2,0,0.9343379226575149,0.1291324571380353,1.8374891053278732,0,NoCover,0.7243056822387015
2021_2022,00570000000000009471,-0.16761739609179893,-0.027969292898040725,0.3832619016138838,2,0,0.8628688771880003,0.2618012911086759,1.6473298072167801,0,NoCover,1.0620949622203135
2021_2022,00570000000000009472,-0.33723871308086467,-0.6185782597211821,0.8093068968427328,2,0,0.8624882728377479,0.35314755274348225,2.2149792538291537,0,NoCover,-1.1410583346733525
2021_2022,00570000000000009475,-0.5171469054057976,-0.09099284606972977,0.5486604788997577,2,0,0.8569625631891602,0.3240341316485939,1.9413457498233717,0,NoCover,0.6825197495173018
2021_2022,00570000000000009477,-0.2883845060735509,0.2214742226439212,0.7060250924791295,2,0,0.7583197326775384,0.49894215847589274,1.5655298979464036,0,NoCover,0.143099822049463
2021_2022,00570000000000009478,-0.2493243264857112,-0.33273490422945023,0.8794468299773047,2,0,0.9715110501590775,0.05668663361737264,1.9330895404396269,0,NoCover,0.8080510266606735
2021_2022,0057000000000000947a,-0.17057060483261094,-0.41008977852641415,0.7600100606785029,2,0,0.9257071893672623,0.15638409817205173,1.9485853711501893,0,NoCover,1.2133417455051267
2021_2022,0057000000000000947b,-0.16482555151893452,0.1245670053831701,0.2660842842100972,2,0,0.7893727147706507,0.40984496814518423,1.535985400882786,0,NoCover,0.7135825498091031
2021_2022,0057000000000000947c,0.9937838832611634,-0.409085066358878,0.3480743930342407,2,0,0.5609689948976705,1.2520429743996573,1.5997897204411793,1,NoCover,1.467260621042458
