orch_id,mask,longest,years_active,ever_cover,never_cover
0056000000000000339a,48,2,2,True,False
0056000000000000339b,32,1,1,True,False
0056000000000000339c,48,2,2,True,False
0056000000000000339e,48,2,2,True,False
0056000000000000339f,56,3,3,True,False
005600000000000033a1,56,3,3,True,False
005600000000000033a3,16,1,1,True,False
005600000000000033a5,32,1,1,True,False
005600000000000033a9,8,1,1,True,False
005600000000000033b0,48,2,2,True,False
005600000000000033b3,10,1,2,True,False
005600000000000033c7,32,1,1,True,False
005600000000000033d3,2,1,1,True,False
005600000000000033d9,2,1,1,True,False
005600000000000033dd,32,1,1,True,False
005600000000000033de,48,2,2,True,False
005600000000000033df,2,1,1,True,False
005600000000000033e6,51,2,4,True,False
005600000000000033e7,2,1,1,True,False
005600000000000033ee,2,1,1,True,False
00560000000000003403,2,1,1,True,False
00560000000000003405,2,1,1,True,False
00560000000000003409,2,1,1,True,False
00560000000000003412,2,1,1,True,False
00560000000000003415,2,1,1,True,False
00560000000000003417,2,1,1,True,False
00560000000000003418,50,2,3,True,False
00560000000000003419,18,1,2,True,False
00560000000000003425,10,1,2,True,False
0056000000000000342e,2,1,1,True,False
00560000000000003430,2,1,1,True,False
00560000000000003431,2,1,1,True,False
00560000000000003443,50,2,3,True,False
00560000000000003446,34,1,2,True,False
0056000000000000344a,10,1,2,True,False
0056000000000000344c,18,1,2,True,False
0056000000000000344d,50,2,3,True,False
0056000000000000344e,32,1,1,True,False
00560000000000003470,16,1,1,True,False
00560000000000003472,10,1,2,True,False
00560000000000003473,19,2,3,True,False
00560000000000003476,32,1,1,True,False
00560000000000003477,8,1,1,True,False
00560000000000003478,26,2,3,True,False
0056000000000000347d,40,1,2,True,False
0056000000000000347e,32,1,1,True,False
0056000000000000347f,32,1,1,True,False
00560000000000003481,48,2,2,True,False
00560000000000003485,48,2,2,True,False
00560000000000003489,57,3,4,True,False
0056000000000000348b,56,3,3,True,False
0056000000000000348c,56,3,3,True,False
0056000000000000348f,56,3,3,True,False
00560000000000003492,59,3,5,True,False
00560000000000003496,26,2,3,True,False
0056000000000000349d,32,1,1,True,False
005600000000000034a0,2,1,1,True,False
005600000000000034a9,8,1,1,True,False
005600000000000034ac,50,2,3,True,False
005600000000000034ae,47,4,5,True,False
005600000000000034af,8,1,1,True,False
005600000000000034b0,47,4,5,True,False
005600000000000034b1,59,3,5,True,False
005600000000000034b2,1,1,1,True,False
005600000000000034b5,15,4,4,True,False
005600000000000034b6,15,4,4,True,False
005600000000000034b9,32,1,1,True,False
005600000000000034ba,11,2,3,True,False
005600000000000034bb,27,2,4,True,False
005600000000000034c1,11,2,3,True,False
005600000000000034c2,32,1,1,True,False
005600000000000034c6,18,1,2,True,False
005600000000000034d1,56,3,3,True,False
005600000000000034d3,48,2,2,True,False
