scope,n,corr_CMI_coverScore,auc_cmi_only,season
GLOBAL,21822,,,
SEASON_2018_2019,3637,,,2018_2019
SEASON_2019_2020,3637,,,2019_2020
SEASON_2020_2021,3637,,,2020_2021
SEASON_2021_2022,3637,,,2021_2022
SEASON_2022_2023,3637,,,2022_2023
SEASON_2023_2024,3637,,,2023_2024
