K,silhouette,chosen_k,method,feature_set,k_select,chosen_silhouette,shrink_by_r2,shrink_level
2,0.42237751468362633,2,kmeans,cover2,silhouette,0.4209023061324584,sqrt,False
3,0.36027788218856355,2,kmeans,cover2,silhouette,0.4209023061324584,sqrt,False
