season,orch_id,CMI_z,cmi_cluster,cmi_label
2017_2018,00560000000000002bd1,-0.8268155277722647,0,Young
2017_2018,005600000000000030ba,0.636543464053976,1,Old
2017_2018,005600000000000030bb,1.1960000647755566,1,Old
2017_2018,005600000000000030d5,0.5183689075465151,1,Old
2017_2018,005600000000000030e2,0.6403775544072702,1,Old
2017_2018,005600000000000030f8,-0.08023095975037486,1,Old
2017_2018,005600000000000030fc,-0.34073108824778015,1,Old
2017_2018,005600000000000030fd,-0.1274036609944626,1,Old
2017_2018,00560000000000003107,0.5494913242290679,1,Old
2017_2018,00560000000000003109,-0.481946238114633,0,Young
2017_2018,0056000000000000310f,-0.20474529743830494,1,Old
2017_2018,00560000000000003110,0.09450582764295287,1,Old
2017_2018,00560000000000003111,0.023478456574573175,1,Old
2017_2018,00560000000000003114,-0.06329707505028839,1,Old
2017_2018,00560000000000003116,1.9692441989689795,1,Old
2017_2018,00560000000000003117,-0.00017122152426166952,1,Old
2017_2018,0056000000000000311a,0.4543218171485289,1,Old
2017_2018,0056000000000000312a,0.3235079553789013,1,Old
2017_2018,0056000000000000312b,0.5595936766002729,1,Old
2017_2018,0056000000000000312c,0.39377396014164423,1,Old
2017_2018,0056000000000000312e,0.6131555912977288,1,Old
2017_2018,00560000000000003131,0.1209148570648226,1,Old
2017_2018,00560000000000003132,0.7527937342685527,1,Old
2017_2018,00560000000000003134,0.673899068656666,1,Old
2017_2018,00560000000000003135,0.3549446152004925,1,Old
2017_2018,00560000000000003136,0.549735726251506,1,Old
2017_2018,0056000000000000313e,0.7119423398155721,1,Old
2017_2018,0056000000000000313f,0.1067540329708669,1,Old
2017_2018,00560000000000003142,0.37136179319338225,1,Old
2017_2018,00560000000000003144,-0.6957318496186676,0,Young
2017_2018,00560000000000003147,-0.4209424263919192,0,Young
2017_2018,00560000000000003148,-0.23903549429092497,1,Old
2017_2018,00560000000000003149,-0.6757916154302402,0,Young
2017_2018,0056000000000000314c,0.03900660059152554,1,Old
2017_2018,0056000000000000314d,-0.42968673247464806,0,Young
2017_2018,005600000000000031b5,-0.44457374685689194,0,Young
2017_2018,005600000000000031ba,0.9877601640192002,1,Old
2017_2018,005600000000000031bc,0.4070362714246676,1,Old
2017_2018,005600000000000031be,0.6819805841224065,1,Old
2017_2018,005600000000000031bf,0.48347955930904246,1,Old
2017_2018,005600000000000031c0,0.37776825082171855,1,Old
2017_2018,005600000000000031c1,-0.7727406112634203,0,Young
2017_2018,005600000000000031c2,0.7279400944838347,1,Old
2017_2018,005600000000000031c3,-0.06797057291669173,1,Old
2017_2018,005600000000000031c6,0.4059709155884547,1,Old
2017_2018,005600000000000031c7,0.2864013844578868,1,Old
2017_2018,005600000000000031c9,1.6952495057723371,1,Old
2017_2018,005600000000000031ca,-0.386891496625671,1,Old
2017_2018,005600000000000031cb,-1.384670538476603,0,Young
