orch_id,cluster_role_mapped,best_soft_norm,uncertain,flipped_this_season,streak_len_current,time_since_last_flip,npts_total,env_z_season,stratum
005300000000000037f5,Bare,0.7739656815447552,False,False,5.0,,4,-0.6739811322764266,Old
005300000000000037f6,Bare,0.1392196906018601,True,False,4.0,3.0,4,-0.287042825404512,Old
005300000000000037f7,Bare,0.7955869075248971,False,False,5.0,,4,-0.384918253368713,Old
005300000000000037f8,Bare,0.628348194681996,False,False,4.0,3.0,4,-0.6283249653220567,Old
005300000000000037f9,Bare,0.9383229830063872,False,False,5.0,,4,-0.4775836512590652,Old
005300000000000037fa,Bare,0.6935762940220299,False,False,5.0,,4,-0.464891374972057,Old
005300000000000037fb,Bare,1.0,False,False,5.0,,4,-0.4050484471041515,Old
005300000000000037fc,Bare,1.0,False,False,5.0,,4,-0.4367686405932808,Old
005300000000000037fd,Bare,1.0,False,False,5.0,,4,-0.4752726764507291,Old
005300000000000037fe,Bare,0.5956019662789832,False,False,3.0,2.0,4,0.02935495039372301,Old
005300000000000037ff,Bare,1.0,False,False,5.0,,4,-0.4384343997956196,Old
00530000000000003800,Bare,1.0,False,False,5.0,,4,-0.49004779902859064,Old
00530000000000003801,Bare,1.0,False,False,5.0,,4,-0.5731886794324964,Old
00530000000000003803,Bare,0.2961168582358163,False,False,5.0,,4,-0.3569973763669304,Old
00530000000000003804,Bare,0.7369887214048728,False,True,1.0,0.0,4,0.6824860131422081,Old
00530000000000003805,Bare,0.09859694698011438,True,False,2.0,1.0,4,0.34424284838806957,Old
00530000000000003806,Bare,0.2860267568265044,False,False,3.0,2.0,4,-0.004759432682723077,Old
00530000000000003807,Bare,0.8191740878118912,False,False,4.0,3.0,4,-0.10443887907999588,Old
0053000000000000380b,Bare,0.0,True,True,1.0,0.0,4,0.41978590566319274,Old
0053000000000000380c,Bare,0.11491467649815672,True,False,2.0,1.0,4,0.12886590862336575,Old
0053000000000000380d,Bare,0.8963383419132331,False,False,4.0,3.0,4,-0.24333256407770942,Old
0053000000000000380e,Bare,0.0,True,False,2.0,1.0,4,-0.052679395908648965,Old
0053000000000000380f,Bare,0.5386739424965432,False,False,5.0,,4,0.06059830620751989,Old
00530000000000003815,Bare,0.4063727545351048,False,True,1.0,0.0,4,0.0,Old
00530000000000003817,Cover,1.0,False,True,1.0,0.0,4,0.8272832162033819,Old
00530000000000003818,Bare,1.0,False,True,1.0,0.0,4,-0.09768514387833203,Young
00530000000000003819,Bare,0.19006019308350516,False,False,2.0,1.0,4,0.30384309810044935,Old
0053000000000000381a,Bare,0.6209462813821071,False,False,2.0,1.0,4,-0.21933515448554156,Old
0053000000000000381b,Cover,0.24019167576550268,False,True,1.0,0.0,4,0.30944762410484217,Old
0053000000000000381c,Cover,0.05952742377540168,True,True,1.0,0.0,4,0.7436252590955227,Old
0053000000000000381e,Bare,0.7097446690973473,False,False,5.0,,4,-0.3008946477763793,Old
0053000000000000381f,Bare,0.08553915880485605,True,False,4.0,3.0,4,-0.5912387665305134,Old
00530000000000003820,Bare,0.7637834967115312,False,False,2.0,1.0,4,-0.15758393694980016,Old
00530000000000003822,Bare,0.16884999418106303,False,True,1.0,0.0,4,0.260791391097557,Old
