orch_id,season,summer_year,stability_score,EVI2_p90_summer_mean,EVI2_p90_summer_median,EVI2_summer_imgcount_mean,valid_fraction,CMI_season_z
0056000000000000318b,2023_2024,2023,7.0,0.4176259938657192,0.42130213539781647,53.8336494389126,1.0,-0.10797426270875725
0056000000000000318c,2023_2024,2023,7.0,0.4135683068784992,0.43844582242083313,52.50464607222071,1.0,-0.14212271211427033
00560000000000003158,2023_2024,2023,7.0,0.666766094891321,0.6691466850331153,73.53728183322363,1.0,1.9887247092802203
0056000000000000315a,2023_2024,2023,7.0,0.6877148460205463,0.6939240171026836,72.57089434063393,1.0,2.165024007451357
0056000000000000315e,2023_2024,2023,7.0,0.6681590620150747,0.6786465707713262,74.133743521057,1.0,2.0004475621022504
0056000000000000318f,2023_2024,2023,7.0,0.5946290071893228,0.611210654678581,63.32299593094092,1.0,1.3816375442496662
00560000000000003192,2023_2024,2023,7.0,0.6174823181274202,0.6179503430811327,51.08253960359105,1.0,1.5739651276182278
00560000000000003194,2023_2024,2023,7.0,0.6130499512169454,0.6184095654025294,56.01736333824183,1.0,1.5366634684055447
00560000000000003197,2023_2024,2023,7.0,0.6102210796313035,0.60786326578119,51.62814582748378,1.0,1.5128564131740196
005600000000000031ab,2023_2024,2023,7.0,0.6454531470988606,0.6332530183859606,58.404765488914215,1.0,1.8093604257202869
005600000000000031ae,2023_2024,2023,7.0,0.596513552973798,0.5921848164075563,56.90362468502072,1.0,1.3974973965685407
005600000000000031b0,2023_2024,2023,7.0,0.6537704620754711,0.6660301127475063,59.93766965880062,1.0,1.8793568080344119
005600000000000031b9,2023_2024,2023,7.0,0.6262094825099421,0.6414504375076805,58.00851593793128,1.0,1.6474106970544073
005600000000000031bd,2023_2024,2023,7.0,0.5027861599327477,0.5727118937739839,58.59048458818061,1.0,0.6087117782461702
005600000000000031cb,2023_2024,2023,7.0,0.6074671347880224,0.6695795807210463,57.01745067267586,0.9860770190334395,1.4896799221231936
005600000000000031ce,2023_2024,2023,7.0,0.6033007565266942,0.6545856431932349,65.14228884114408,1.0,1.4546167549273743
005600000000000031d0,2023_2024,2023,7.0,0.657348771531615,0.6574417366976777,68.65959510243665,1.0,1.9094709395101166
00560000000000003110,2023_2024,2023,8.0,0.24984421891492703,0.20102282039356464,17.91321104114634,0.956381732020896,-1.5199825006827072
0056000000000000312e,2023_2024,2023,7.0,0.5175015410584789,0.5407279415087985,45.108966183574864,0.933487922705314,0.7325526386766479
005600000000000030e9,2023_2024,2023,8.0,0.10247194214318674,0.10059246513478086,25.852033449167724,0.9437707956132849,-2.7602296545330236
005600000000000030ea,2023_2024,2023,8.0,0.10089374045244796,0.09984573188387537,51.31505223184388,0.9942977233514465,-2.7735113937991693
005600000000000030eb,2023_2024,2023,8.0,0.15625214528346767,0.15323331616392305,30.1985324456269,0.9783570388806183,-2.3076293056795163
005600000000000030ec,2023_2024,2023,8.0,0.1408921229472245,0.14501283683361993,42.001754384488024,0.9778833064928223,-2.4368953006339753
005600000000000030ed,2023_2024,2023,8.0,0.08584198969951284,0.08444121701873532,78.65293220292887,0.9914230684596879,-2.9001830544447205
005600000000000030ef,2023_2024,2023,8.0,0.47146351351904814,0.4903704822246781,22.393239365199317,0.9996184434730839,0.3451084471676887
005600000000000030f0,2023_2024,2023,8.0,0.08804470662588273,0.0809900679768733,74.87982908696151,0.9962581877486835,-2.8816455556796066
005600000000000030f1,2023_2024,2023,8.0,0.5033945051833875,0.5214895563475944,21.806645580075436,0.9909274912230976,0.6138314553129294
005600000000000030f6,2023_2024,2023,8.0,0.49354379196136694,0.5175603460374577,34.06492152858736,0.9901444286933686,0.5309303879980123
005600000000000030f7,2023_2024,2023,8.0,0.5428178181555757,0.5488178813421951,26.28982155847812,0.9988420579890831,0.9456079113748652
005600000000000030fe,2023_2024,2023,8.0,0.4639802812450796,0.47164178478953805,29.44240296008921,0.9991794565447,0.2821314902209938
005600000000000030ff,2023_2024,2023,8.0,0.4354589283186092,0.4444063195515564,26.849387183928187,0.9826822700704853,0.04210312419524454
00560000000000003100,2023_2024,2023,8.0,0.3093861462928148,0.2900423535841152,19.19468530423082,0.8831663925848408,-1.0188929634723534
00560000000000003101,2023_2024,2023,8.0,0.4533671911054518,0.4589601375005723,24.04922983521169,0.9881668190570837,0.1928144549714284
00560000000000003102,2023_2024,2023,8.0,0.12197877129447068,0.11036429946797668,22.880113900369413,0.8715532947900057,-2.5960652006378284
00560000000000003104,2023_2024,2023,8.0,0.522107017939507,0.5370847120544191,17.248378686640738,0.9977628256299412,0.7713111468502409
