orch_id,season,time_period,period_start_date,period_end_date,orchard_savi_mean,orchard_savi_stddev,orchard_savi_fill,orchard_bsi_mean,orchard_bsi_stddev,orchard_bsi_fill,ACRES,CNTY,stability_score,startyear,endyear
0056000000000000318b,2022_2023,1,2022-11-16,2022-11-30,0.2918634194586765,0.0164804234744913,0.33025130393551455,0.04370465677289639,0.019844405347093738,0.9733522996680891,4.9,Madera,7.0,2016,2023
0056000000000000318c,2022_2023,1,2022-11-16,2022-11-30,0.3044490520064891,0.02180786487496198,0.6183842395952627,0.0176694348066927,0.027024880097041563,0.989069770813099,5.34,Madera,7.0,2016,2023
00560000000000003158,2022_2023,1,2022-11-16,2022-11-30,0.4334370481525411,0.022455711879185943,1.0,-0.24249463789384404,0.030904696082445594,1.0,4.35,Madera,7.0,2016,2023
0056000000000000315a,2022_2023,1,2022-11-16,2022-11-30,0.4388303769300223,0.025183822834948053,1.0,-0.2471054837581046,0.03693394737789184,1.0,6.36,Madera,7.0,2016,2023
0056000000000000315e,2022_2023,1,2022-11-16,2022-11-30,0.4408711492314635,0.030392474554742623,1.0,-0.24168406543202212,0.05281848766501088,1.0,22.19,Madera,7.0,2016,2023
0056000000000000318f,2022_2023,1,2022-11-16,2022-11-30,0.22535446238068596,0.01954041307474249,0,0.048343564567588114,0.02028228224446275,0.9736009256917784,10.11,Madera,7.0,2016,2023
00560000000000003192,2022_2023,1,2022-11-16,2022-11-30,0.24102374346511446,0.011155277859357523,0,0.015519720929905301,0.015630198525377257,1.0,9.34,Madera,7.0,2016,2023
00560000000000003194,2022_2023,1,2022-11-16,2022-11-30,0.22361774135787024,0.010677120417741041,0,0.04391452885988547,0.014836854566954613,1.0,8.57,Madera,7.0,2016,2023
00560000000000003197,2022_2023,1,2022-11-16,2022-11-30,0.24076945215634438,0.008857787501172318,0,0.013199023482886933,0.014774541760280369,1.0,5.25,Madera,7.0,2016,2023
005600000000000031ab,2022_2023,1,2022-11-16,2022-11-30,0.35801281781667244,0.01958172311376754,1.0,-0.1574299396800702,0.03250370987171714,1.0,3.61,Madera,7.0,2016,2023
005600000000000031ae,2022_2023,1,2022-11-16,2022-11-30,0.3330487774697383,0.018375255390237114,0.972622699899073,-0.11816255608454354,0.03315223309454079,1.0,11.6,Madera,7.0,2016,2023
005600000000000031b0,2022_2023,1,2022-11-16,2022-11-30,0.35389546491481216,0.040343741998181075,0.9349017346903361,-0.13699860122605437,0.06095076863690226,0.9993193629236966,29.02,Madera,7.0,2016,2023
005600000000000031b9,2022_2023,1,2022-11-16,2022-11-30,0.24867360694121465,0.02294186038462605,0.0028723058108092955,0.08995511946864677,0.03080355163979659,0.649141113242901,6.9,Madera,7.0,2016,2023
005600000000000031bd,2022_2023,1,2022-11-16,2022-11-30,0.26863790429216594,0.05399618530715444,0.2777730371381708,0.06460780293383424,0.042928782814092424,0.848508120715647,8.2,Madera,7.0,2016,2023
005600000000000031cb,2022_2023,1,2022-11-16,2022-11-30,0.3344738681560811,0.13749256598951007,0.7549380504737326,-0.06436904571737789,0.15453053766501038,0.8108532111225042,12.55,Madera,7.0,2016,2023
005600000000000031ce,2022_2023,1,2022-11-16,2022-11-30,0.35659163473108474,0.0767598197425399,0.8632570162481542,-0.026828387838632315,0.07804005131878819,0.9118134819390362,23.06,Madera,7.0,2016,2023
005600000000000031d0,2022_2023,1,2022-11-16,2022-11-30,0.4072916097801404,0.032198662048646784,0.9992819642474146,-0.07789189658712335,0.05040210695464459,1.0,8.3,Madera,7.0,2016,2023
00560000000000003110,2022_2023,1,2022-11-16,2022-11-30,0.11535870051022373,0.054377628036416895,0.013955611144274837,0.17593718967545674,0.10761263038506798,0.15859840624615068,49.02,Fresno,8.0,2016,2023
0056000000000000312e,2022_2023,1,2022-11-16,2022-11-30,0.20472467367307914,0.0803969193260531,0.13739488587609403,0.05350685441927281,0.16915140238622373,0.5715290887249013,4.51,Fresno,7.0,2016,2023
005600000000000030e9,2022_2023,1,2022-11-16,2022-11-30,0.08182236401825418,0.014840028263111293,0,-0.04823101747730929,0.03285644277590338,1.0,150.06,Madera,8.0,2016,2023
005600000000000030ea,2022_2023,1,2022-11-16,2022-11-30,0.07754902570045623,0.019715052079944888,0,-0.10515370326342738,0.02342842474833629,1.0,147.82,Madera,8.0,2016,2023
005600000000000030eb,2022_2023,1,2022-11-16,2022-11-30,0.16784088613253045,0.029897462512704257,0,-0.185773512253736,0.03712778144443741,1.0,120.36,Madera,8.0,2016,2023
005600000000000030ec,2022_2023,1,2022-11-16,2022-11-30,0.1685173472392682,0.05160365897499502,0,-0.146550635283308,0.06717167444174546,1.0,197.36,Madera,8.0,2016,2023
005600000000000030ed,2022_2023,1,2022-11-16,2022-11-30,0.08719229411611869,0.011230681837630657,0,-0.025319321740380128,0.016379329364691067,1.0,63.92,Madera,8.0,2016,2023
005600000000000030ef,2022_2023,1,2022-11-16,2022-11-30,0.26348140130126974,0.06333674380447353,0.27899778679988646,-0.07923786795091223,0.14322201259425588,0.8948611936374121,186.99,Madera,8.0,2016,2023
005600000000000030f0,2022_2023,1,2022-11-16,2022-11-30,0.0758944189986222,0.013738892194349282,0,0.02841108866069571,0.04366827720392582,0.9993195964234786,203.13,Madera,8.0,2016,2023
005600000000000030f1,2022_2023,1,2022-11-16,2022-11-30,0.2616176434622115,0.08005608887946353,0.38579342340447903,-0.09808530907621286,0.1723339026638111,0.864313360845337,94.29,Madera,8.0,2016,2023
