orch_id,season,time_period,period_start_date,period_end_date,orchard_savi_mean,orchard_savi_stddev,orchard_savi_fill,orchard_bsi_mean,orchard_bsi_stddev,orchard_bsi_fill,ACRES,CNTY,stability_score,startyear,endyear
0056000000000000318b,2023_2024,1,2023-11-16,2023-11-30,0.1893985330778979,0.016875700571921556,0,0.20974142683358743,0.019787908858880612,0,4.9,Madera,7.0,2016,2023
0056000000000000318c,2023_2024,1,2023-11-16,2023-11-30,0.19588864600167946,0.017994804543144945,0,0.195640006977052,0.02469953375632262,0,5.34,Madera,7.0,2016,2023
00560000000000003158,2023_2024,1,2023-11-16,2023-11-30,0.3175909931031785,0.01893875182755553,0.8371199316811074,-0.07112836851488111,0.025942902085211012,1.0,4.35,Madera,7.0,2016,2023
0056000000000000315a,2023_2024,1,2023-11-16,2023-11-30,0.28867187830847557,0.013623417306809342,0.16207030964504107,-0.030742007585425904,0.01967403793116679,1.0,6.36,Madera,7.0,2016,2023
0056000000000000315e,2023_2024,1,2023-11-16,2023-11-30,0.31596722858598614,0.02513258190764633,0.6872353486944449,-0.07094490289186292,0.03498954763790439,1.0,22.19,Madera,7.0,2016,2023
0056000000000000318f,2023_2024,1,2023-11-16,2023-11-30,0.24766524967832207,0.03433584075112633,0.041050752124569906,0.06435904722910858,0.03891485102361831,0.8531077342774164,10.11,Madera,7.0,2016,2023
00560000000000003192,2023_2024,1,2023-11-16,2023-11-30,0.2934268064288522,0.019202591151236726,0.28323095670338966,-0.0019547211976262083,0.02090351713674743,1.0,9.34,Madera,7.0,2016,2023
00560000000000003194,2023_2024,1,2023-11-16,2023-11-30,0.20461543948454908,0.01299511919941622,0,0.12360246264972129,0.01969052672354016,0.13024310480337514,8.57,Madera,7.0,2016,2023
00560000000000003197,2023_2024,1,2023-11-16,2023-11-30,0.29927910861283835,0.022282172969186193,0.4017940268069574,-0.0041550739056093995,0.02364740843136778,1.0,5.25,Madera,7.0,2016,2023
005600000000000031ab,2023_2024,1,2023-11-16,2023-11-30,0.26140571551831726,0.01705131809141978,0.04202060170749017,0.034569101674621704,0.023994116184068433,1.0,3.61,Madera,7.0,2016,2023
005600000000000031ae,2023_2024,1,2023-11-16,2023-11-30,0.27506543989100635,0.02313183078483017,0.1638627659361152,0.03467263983036204,0.029949898843901045,0.9990040972375397,11.6,Madera,7.0,2016,2023
005600000000000031b0,2023_2024,1,2023-11-16,2023-11-30,0.27377942639261293,0.025476747895475604,0.12698285595317202,0.029660256966719385,0.03175678239095517,0.9835392594134776,29.02,Madera,7.0,2016,2023
