season,orch_id,z_slope_Intensity,z_level_Intensity_t5,Q,K,cluster,best_soft,uncertain,label,CMI
2018_2019,005a000000000000b6a7,-0.0,-0.8217954805648204,0.3989606740347696,2,1,0.7873635985220603,0,NoCover,0.2959996643765511
2018_2019,005c00000000000036d2,0.5965954595947038,1.9182383056816148,0.4258238386811846,2,0,0.7060760594851921,0,Cover,-0.5050999486823828
2018_2019,005c0000000000003bac,0.0,-0.21058633509188723,0.3320512312874389,2,1,0.8094120342574636,0,NoCover,-0.1495693994690301
2018_2019,005c0000000000003bad,-6.326015059393854e-05,-0.3532274384130955,0.3182956861128513,2,1,0.8457212848203344,0,NoCover,-0.3324220538971584
2018_2019,005c0000000000003bae,0.4573308521070793,-0.05303398633878347,0.7410954334975705,2,1,0.5591235556746657,1,NoCover,-0.2618863420571964
2018_2019,005c0000000000003bb0,0.8698542833033798,0.07487778687426215,0.8420293272464493,2,0,0.5937863844075745,1,Cover,-0.276343354216812
2018_2019,005c0000000000003bb8,-0.006282997842798621,-0.352628296321206,0.3621876027992132,2,1,0.8489178506825055,0,NoCover,-0.5885760068983663
2018_2019,005c0000000000003bba,1.1754883031205274,0.24899439360232875,0.703480701447944,2,0,0.6708728688581946,0,Cover,-0.4271109032960414
2018_2019,005c0000000000003bc8,1.1103710178750925,0.24373582935577245,0.8292254396553806,2,0,0.6699857830926511,0,Cover,-0.3926074266794579
2018_2019,005c0000000000003bc9,0.7348903972648928,0.05720807936980764,0.759012443136022,2,0,0.5625648603539272,1,Cover,-0.532099715752668
2018_2019,005c0000000000003bcb,0.19449296868211574,-0.04057628541235565,0.43373991289350694,2,1,0.6581732540215732,0,NoCover,-0.2921823899253331
2018_2019,005c0000000000003beb,-1.4125492974899267,0.0432987699005412,0.4644277311266205,2,1,0.657786271540348,0,NoCover,-0.2713850542316088
2018_2019,005c0000000000003c20,0.6268286430424859,1.1068921871820585,0.46080059790182304,2,0,0.8764319763275172,0,Cover,0.1872337964266726
2018_2019,005c0000000000003c21,0.0,-0.6579508202273412,0.2388100484963238,2,1,0.8205660059833688,0,NoCover,0.5312724588406361
2018_2019,005c0000000000003c22,0.3554349509588238,-0.29124426859856184,0.41194753265460077,2,1,0.6682866674845124,0,NoCover,0.2406601447943814
2018_2019,005c0000000000003c23,0.28834765372961385,-0.43943619801836725,0.2952763647517035,2,1,0.7193271928607747,0,NoCover,0.2999644108671626
