K,silhouette,chosen_k,method,feature_set,k_select,chosen_silhouette,shrink_by_r2,shrink_level
2,0.37724902498072943,2,kmeans,cover2,silhouette,0.37937665330892373,sqrt,False
3,0.35193455455113376,2,kmeans,cover2,silhouette,0.37937665330892373,sqrt,False
