season,orch_id,z_slope_Intensity,z_level_Intensity_t5,Q,K,cluster,best_soft,Dmin,D2,uncertain,label,CMI
2018_2019,005a000000000000b6a7,-0.0,-0.8217954805648204,0.3989606740347696,2,1,0.7873635985220603,0.5117605172007753,1.8949794090007537,0,NoCover,0.2959996643765511
2018_2019,005c00000000000036d2,0.5965954595947038,1.9182383056816148,0.4258238386811846,2,0,0.7060760594851921,1.024422572749886,2.460909622224125,0,Cover,-0.5050999486823828
2018_2019,005c0000000000003bac,0.0,-0.21058633509188723,0.3320512312874389,2,1,0.8094120342574636,0.32017009935099683,1.3597371188388012,0,NoCover,-0.1495693994690301
2018_2019,005c0000000000003bad,-6.326015059393854e-05,-0.3532274384130955,0.3182956861128513,2,1,0.8457212848203344,0.26988071488951,1.4794254974108703,0,NoCover,-0.3324220538971584
2018_2019,005c0000000000003bae,0.4573308521070793,-0.05303398633878347,0.7410954334975705,2,1,0.5591235556746657,0.7979956821733084,1.012025452873876,1,NoCover,-0.2618863420571964
2018_2019,005c0000000000003bb0,0.8698542833033798,0.07487778687426215,0.8420293272464493,2,0,0.5937863844075745,0.8397739724340463,1.227547112333909,1,Cover,-0.276343354216812
2018_2019,005c0000000000003bb8,-0.006282997842798621,-0.352628296321206,0.3621876027992132,2,1,0.8489178506825055,0.2637821966346145,1.4821699084038447,0,NoCover,-0.5885760068983663
2018_2019,005c0000000000003bba,1.1754883031205274,0.24899439360232875,0.703480701447944,2,0,0.6708728688581946,0.7736085299563031,1.5768769109506995,0,Cover,-0.4271109032960414
2018_2019,005c0000000000003bc8,1.1103710178750925,0.24373582935577245,0.8292254396553806,2,0,0.6699857830926511,0.746391422657206,1.515303329925997,0,Cover,-0.3926074266794579
2018_2019,005c0000000000003bc9,0.7348903972648928,0.05720807936980764,0.759012443136022,2,0,0.5625648603539272,0.8524938274874685,1.0963524132997213,1,Cover,-0.532099715752668
2018_2019,005c0000000000003bcb,0.19449296868211574,-0.04057628541235565,0.43373991289350694,2,1,0.6581732540215732,0.5771079140649437,1.1111974068456842,0,NoCover,-0.2921823899253331
2018_2019,005c0000000000003beb,-1.4125492974899267,0.0432987699005412,0.4644277311266205,2,1,0.657786271540348,1.2223694462631136,2.3495779790057547,0,NoCover,-0.2713850542316088
2018_2019,005c0000000000003c20,0.6268286430424859,1.1068921871820585,0.46080059790182304,2,0,0.8764319763275172,0.24537104590697031,1.7403453118890126,0,Cover,0.1872337964266726
2018_2019,005c0000000000003c21,0.0,-0.6579508202273412,0.2388100484963238,2,1,0.8205660059833688,0.38193383247892604,1.7466139634505657,0,NoCover,0.5312724588406361
2018_2019,005c0000000000003c22,0.3554349509588238,-0.29124426859856184,0.41194753265460077,2,1,0.6682866674845124,0.6305362818459824,1.2703106846127528,0,NoCover,0.2406601447943814
2018_2019,005c0000000000003c23,0.28834765372961385,-0.43943619801836725,0.2952763647517035,2,1,0.7193271928607747,0.5588980040509497,1.4323814852146897,0,NoCover,0.2999644108671626
2018_2019,005c0000000000003c24,0.0007581534294028888,1.1117754399764344,0.21262804495461504,2,0,0.6561709355189091,0.797253982134452,1.521497003439362,0,Cover,0.2698816136698587
2018_2019,005c0000000000003c25,1.3006054443211703,2.349365058480993,0.6573592629256938,2,0,0.672646148139981,1.53446957538907,3.1530255210340834,1,Cover,0.0485737162843948
2018_2019,005c0000000000003c26,1.292781142198304,1.1344349236733564,0.5231172535197685,2,0,0.793289869312522,0.567730895563422,2.178776465615532,0,Cover,0.8466831690808514
2018_2019,005c0000000000003c27,1.5437659761166407,1.2819788342059317,0.5688013914891902,2,0,0.7417349097431507,0.8574176014093788,2.4624952856039664,0,Cover,0.8695086613902201
2018_2019,005c0000000000003c28,0.3936855687534126,-0.09853904643772364,0.4330537588374632,2,1,0.5986792058877088,0.7213246313623561,1.0760520357448224,1,NoCover,0.3055437635398482
2018_2019,005c0000000000003c29,0.004379484555839421,-0.3290811235204627,0.3352433398317882,2,1,0.8396324777989272,0.2781941384846495,1.4565345314254763,0,NoCover,0.3339183549301219
2018_2019,005c0000000000003c2a,0.41680146816496216,1.0077448728686564,0.3652392175128247,2,0,0.8082050976196952,0.3684714045632339,1.5527027246250493,0,Cover,0.7690315049779948
2018_2019,005c0000000000003c2b,0.2048440278258201,-0.2585615823698706,0.21998034378251272,2,1,0.7260732485369916,0.4896366546469052,1.297836281208455,0,NoCover,0.2280718532847161
2018_2019,005c0000000000003c2e,-1.373758975175228,-0.42270446745432544,0.6143441348566392,2,1,0.6953374404892038,1.1064036593377486,2.5251671549898362,0,NoCover,1.0300225192881107
2018_2019,005c0000000000003c30,-1.127521848052329,-0.4762868986092349,0.6834964647521375,2,1,0.7311710417697936,0.8643005048674051,2.3507567960922584,0,NoCover,-1.017590386306234
2018_2019,005c0000000000003c35,-0.3178581098685595,-1.2960725275191876,0.40705124628905437,2,1,0.7295769746619052,0.9116366533708244,2.4595136110382647,0,NoCover,-1.9134274945192336
2018_2019,005c0000000000003c36,-0.01054045960761335,-0.2751396521458124,0.3261550659632381,2,1,0.8351087674436107,0.2802080700202588,1.4191428637805035,0,NoCover,-0.1777607889945523
2018_2019,005c0000000000003c37,-0.6568438037456434,0.19277792874593744,0.5095128061611208,2,1,0.6962666556768142,0.6971203086556294,1.5980518273146065,0,NoCover,0.2016682064461014
2018_2019,005c0000000000003c38,-0.236376028045706,0.3266140481553085,0.21744392881119937,2,1,0.6201454146642322,0.71311618178929,1.1642237512246543,0,NoCover,0.5131892814958889
2018_2019,005c0000000000003c39,-0.8146626370751189,0.011572730976082603,0.6016594604537993,2,1,0.7294940220526793,0.6758538527127826,1.8226264316837446,0,NoCover,0.1053553316187276
2018_2019,005c0000000000003c3a,-0.4082372495645912,0.005572056182579823,0.5789809422034886,2,1,0.781394239687612,0.4157501703575394,1.4860760658927394,0,NoCover,0.1095183390917889
2018_2019,005c0000000000003c3b,-0.3219361289683218,0.19085643490387522,0.360316386021209,2,1,0.6931554573652734,0.5791779137451842,1.3083508940741169,0,NoCover,0.3336078255358685
2018_2019,005c0000000000003c3c,-0.45946560009117277,0.6538788244457577,0.292080361987276,2,1,0.5432482681068667,1.0571689468855094,1.257368411306394,1,NoCover,0.9099352904993132
2018_2019,005c0000000000003c3d,-0.6632749182227258,0.20932621174056157,0.5985904375787409,2,1,0.6908383674417717,0.714452732286321,1.5964832217465887,0,NoCover,1.0128622998135142
2018_2019,005c0000000000003c3e,-0.7683694590055676,1.0402780290552178,0.3345930039254385,2,1,0.505627341691645,1.5113247882339522,1.545730983024526,1,NoCover,1.2316708941696095
2018_2019,005c0000000000003c3f,-0.6277590745348391,0.8916060246367199,0.35284017361308734,2,1,0.5132989139527941,1.3271090678129804,1.399634524627375,1,NoCover,1.0646038528886663
2018_2019,005c0000000000003c40,-0.4623080791152512,-0.44579386204394256,0.7049783693274367,2,1,0.9001006643093684,0.20338627134042317,1.8325258789692658,0,NoCover,-1.0955075714154994
2018_2019,005c0000000000003c41,0.14881490494442373,-1.892993167343752,0.5450045861954024,2,1,0.6473314783926792,1.5637570120104516,2.870313272696214,1,NoCover,3.1413422311202344
2018_2019,005c0000000000003c42,-0.6397162817468816,0.1432117352497586,0.5193268131154419,2,1,0.7129378139026972,0.646567884042878,1.6057938527402338,0,NoCover,1.087076004949458
2018_2019,005c0000000000003c44,0.08909628287123351,-0.3109273296545242,0.3873157659103814,2,1,0.7930258974365513,0.3648330777961405,1.3978660873532744,0,NoCover,0.9013376119912284
2018_2019,005c0000000000003c45,0.18286071010133811,-1.550870233618178,0.5121543479287709,2,1,0.6693822089320831,1.2492531438060437,2.529288657501367,0,NoCover,3.031322525778706
2018_2019,005c0000000000003c47,-0.01595803325090051,-0.19172748767217276,0.27847280670429225,2,1,0.8097100985081918,0.318080739189499,1.3534779546552818,0,NoCover,0.6563381167178085
2018_2019,005c0000000000003c48,-0.5065112808114458,0.5148831457289286,0.2644724665988787,2,1,0.5894283582907539,0.9317376367392289,1.337629124346175,1,NoCover,1.1523579471836938
2018_2019,005c0000000000003c49,-0.17660425350297904,0.5068103972709681,0.288346090536167,2,1,0.5344553012461124,0.8972761780878853,1.0300923012216268,1,NoCover,0.6068162705908372
2018_2019,005c0000000000003c4b,-0.8688014706973886,-0.5297255302826761,0.41337724930847886,2,1,0.7793336095588574,0.6178279585204642,2.182000131680952,0,NoCover,-0.4323478371226305
2018_2019,005c0000000000003c4c,1.0457854502969661,-0.6653415421355982,0.4046551883703031,2,1,0.5433085851622856,1.3431672213251014,1.5979154828514084,1,NoCover,-0.6910602079229093
2018_2019,005c0000000000003c4d,0.4311981617854122,-1.3767671230329832,0.6405234766814224,2,1,0.655819414344538,1.2127858425138038,2.3109046068012233,0,NoCover,0.1470839900796897
2018_2019,005c0000000000003c4e,-0.8730737205172666,0.7680882848749796,0.2813979049633923,2,1,0.558896422353589,1.3029243748084054,1.6508589106512086,1,NoCover,1.1877162388842748
2018_2019,005c0000000000003c4f,0.6751371958789466,-1.035958971107646,0.4416751615186503,2,1,0.6296202508848885,1.1454942753763349,1.947261951477534,0,NoCover,-0.1555630109287825
2018_2019,005c0000000000003c50,0.008361806865812357,-1.634034196118469,0.3313592876483194,2,1,0.6749840073713125,1.278453630941304,2.655056288374775,0,NoCover,-1.0143275189776433
2018_2019,005c0000000000003c51,0.14736717140842562,-0.35913897087738444,0.27300582050565697,2,1,0.7725263775168197,0.4161930180670537,1.413438978485987,0,NoCover,0.8944845690625373
2018_2019,005c0000000000003c52,-0.21357661422726443,1.0692700024872468,0.34030044052881414,2,0,0.5932567690092414,0.9983097707165094,1.456088224512061,1,Cover,0.3625272943411745
2018_2019,005c0000000000003c53,0.4176801612504344,-1.2283848511525342,0.37442546750882455,2,1,0.6660320090413812,1.0863072541516887,2.166421401171121,0,NoCover,0.5919203771435751
2018_2019,005c0000000000003c54,0.289286312715301,-1.3829582275659669,0.717485433612318,2,1,0.6721665459783883,1.1423031082781627,2.3420975661046874,0,NoCover,0.8397478032826571
2018_2019,005c0000000000003c55,-1.5579024253501272,-0.6684678603820127,0.3820274017228022,2,1,0.6805649758981449,1.3205390508203996,2.8134442358693295,0,NoCover,2.66922861008249
2018_2019,005c0000000000003c56,-0.3728237929521136,-1.3936766065383162,0.20535359978126486,2,1,0.7173215958221335,1.0133141643350507,2.5713748297964374,0,NoCover,2.5986053341713484
2018_2019,005c0000000000003c57,-0.6799456341112841,-0.21336967748947494,0.7055551430799015,2,1,0.8042524855466056,0.4466050172379938,1.8349310650213082,0,NoCover,-0.2607089188141745
2018_2019,005c0000000000003c58,-0.24344558443719677,1.0460907670654176,0.5381212242961544,2,0,0.5829745692847366,1.0244413078399481,1.4321026637899639,1,Cover,0.1857012276945735
2018_2019,005c0000000000003c5a,-2.024970900110781,-0.49421722390616163,0.3426742495693163,2,1,0.6399618002509184,1.7603416913297263,3.1289775324541576,1,NoCover,2.281341434081285
2018_2019,005c0000000000003c5d,-0.9087719433081329,-0.7047278943004534,0.5992017667068097,2,1,0.7649785835560236,0.7157791379922548,2.3298119780109094,0,NoCover,-0.2766558264943983
2018_2019,005c0000000000003c5e,2.2295988523662134,1.894981258903001,0.6415384809184613,2,0,0.6577388051284694,1.7600050519568033,3.3822812437987815,1,Cover,-0.0143123128055608
2018_2019,005c0000000000003c60,-0.9243533513351107,0.09061438041516647,0.2045315321763544,2,1,0.6989682612663864,0.8110550953400539,1.883196011709379,0,NoCover,-0.0277345480615469
2018_2019,005c0000000000003c62,-0.9507502358048748,0.11218892252066076,0.33603277512503194,2,1,0.6919025162718805,0.8450931620474004,1.8978476494820844,0,NoCover,0.1953224679937323
2018_2019,005c0000000000003c64,-0.8987733037464429,-0.08544016808512588,0.4917490704649514,2,1,0.7356294069941802,0.6986621668743179,1.944075661606242,0,NoCover,-0.0823870164480318
2018_2019,005c0000000000003c65,-0.4139030548181641,-0.06890105036880075,0.233107630417488,2,1,0.8149866524851885,0.348887270066713,1.5368538116073125,0,NoCover,0.1919346423168791
2018_2019,005c0000000000003c66,-0.12756684413412436,-0.03217528190741931,0.6432072457676188,2,1,0.7738178655068773,0.3804800521305414,1.3017043210216637,0,NoCover,0.4340923234080051
2018_2019,005c0000000000003c68,-0.47228114069862326,-0.6870448142860549,0.509088343134577,2,1,0.8475447215698382,0.3639917290731615,2.0235394395501816,0,NoCover,0.8031036515876737
2018_2019,005c0000000000003c69,-0.3957020334766865,-0.09787745904315816,0.37154530654416884,2,1,0.830343560687446,0.31498525758371415,1.541621298937399,0,NoCover,0.8479673995749678
2018_2019,005c0000000000003c6a,-0.28283550200396973,-0.045661712784900624,0.26457326764427286,2,1,0.806874743703583,0.3404648124948928,1.4224574433716972,0,NoCover,0.4092368480172862
2018_2019,005c0000000000003c6c,0.8805913420938246,0.18645388892689416,0.6849182354949523,2,0,0.6372081825628523,0.7306000140218771,1.2832271422326893,0,Cover,0.2617917181500038
2018_2019,005c0000000000003c6d,0.19002205405356143,-1.3231966588812787,0.36324295335957796,2,1,0.6885647013548843,1.043295991002909,2.3066646446145627,0,NoCover,-1.4779875165347052
2018_2019,005c0000000000003c6e,-0.9813654358900552,0.06843686079121714,0.4617680908367973,2,1,0.6968611727262197,0.8457331665776826,1.9441871289635333,0,NoCover,-0.3738607025678622
2018_2019,005c0000000000003c6f,-1.0197492714262326,0.8111804497240864,0.6214882600387529,2,1,0.5593417605638769,1.413484137270866,1.7941811479161176,1,NoCover,1.1689897171059702
2018_2019,005c0000000000003c70,0.0,-0.42311272418702145,0.3251898308971454,2,1,0.8505217754631671,0.27055591860557887,1.53944630375097,0,NoCover,-0.5490037558148116
2018_2019,005c0000000000003c71,0.5341028960139104,-0.5846316378390409,0.3918151852839772,2,1,0.6466589947549087,0.8263508064741785,1.512327111479298,0,NoCover,-0.5663154510156524
2018_2019,005c0000000000003c72,0.27230084976166985,-0.29074427915519685,0.30310340894143706,2,1,0.7031611101344333,0.5485704294710014,1.2994705388786632,0,NoCover,0.6150638357510511
2018_2019,005c0000000000003c73,0.11011935504962338,-1.384797483176099,0.2394578921141578,2,1,0.6908729562277149,1.0681500189296138,2.387225498834708,0,NoCover,0.3850583204111619
2018_2019,005c0000000000003c74,-0.5273753591177226,0.22377476531370047,0.6921430464098433,2,1,0.689154873438971,0.6624759282298008,1.4687330617870822,0,NoCover,-0.2054240640020629
2018_2019,005c0000000000003c76,-0.3423121192913295,-0.6464602141758723,0.5931961054248206,2,1,0.8759060983813832,0.27105236419591805,1.9131997276510706,0,NoCover,-1.2223922904413462
2018_2019,005c0000000000003c78,-0.726267451069075,0.6451220387529278,0.7847233770562991,2,1,0.5741484474706153,1.1282020418702376,1.52108275037527,1,NoCover,0.4163028023122117
2018_2019,005c0000000000003c79,0.5861844464306709,-1.463966649469418,0.4948978624098927,2,1,0.6337473257505728,1.3755074109943253,2.380116800660087,0,NoCover,-1.4209276233014432
