scope,n,corr_CMI_coverScore,auc_cmi_only,season
GLOBAL,15030,,,
SEASON_2018_2019,2505,,,2018_2019
SEASON_2019_2020,2505,,,2019_2020
SEASON_2020_2021,2505,,,2020_2021
SEASON_2021_2022,2505,,,2021_2022
SEASON_2022_2023,2505,,,2022_2023
SEASON_2023_2024,2505,,,2023_2024
