season,from_cluster,to_cluster,n
2019_2020,0,0,386
2019_2020,0,1,238
2019_2020,1,0,391
2019_2020,1,1,1490
2020_2021,0,0,396
2020_2021,0,1,381
2020_2021,1,0,401
2020_2021,1,1,1327
2021_2022,0,0,382
2021_2022,0,1,415
2021_2022,1,0,406
2021_2022,1,1,1302
2022_2023,0,0,486
2022_2023,0,1,302
2022_2023,1,0,293
2022_2023,1,1,1424
2023_2024,0,0,501
2023_2024,0,1,278
2023_2024,1,0,311
2023_2024,1,1,1415
