season,from_cluster,to_cluster,n
2019_2020,0,0,386
2019_2020,0,1,363
2019_2020,1,0,325
2019_2020,1,1,1857
2020_2021,0,0,422
2020_2021,0,1,289
2020_2021,1,0,344
2020_2021,1,1,1876
2021_2022,0,0,315
2021_2022,0,1,451
2021_2022,1,0,318
2021_2022,1,1,1847
2022_2023,0,0,362
2022_2023,0,1,271
2022_2023,1,0,384
2022_2023,1,1,1914
2023_2024,0,0,492
2023_2024,0,1,254
2023_2024,1,0,276
2023_2024,1,1,1909
