scope,n,corr_CMI_coverScore,auc_cmi_only,season
GLOBAL,17586,,,
SEASON_2018_2019,2931,,,2018_2019
SEASON_2019_2020,2931,,,2019_2020
SEASON_2020_2021,2931,0.03438924102656063,,2020_2021
SEASON_2021_2022,2931,,,2021_2022
SEASON_2022_2023,2931,,,2022_2023
SEASON_2023_2024,2931,-0.06952764944688149,,2023_2024
